reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,t,1.3156048000091687,None,0,0,0,4,0.062397100031375885,,0.05962539999745786,0.062397100031375885,0.999043799994979,0.999043799994979,1.0659151999861933,2.326545600022655,t,1.3156048000091687,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,1,1,0,l,0.8021215999615379,None,0,1,1,2,2.3429967000265606,,2.339778000023216,2.3429967000265606,3.332877099979669,3.332877099979669,3.3494561000261456,4.150086499983445,l,0.8021215999615379,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,2,2,0,l,0.8576464999932796,None,0,2,2,0,4.165848799981177,,4.159798200009391,4.165848799981177,5.149466100032441,5.149466100032441,5.165975400013849,6.017070400004741,l,0.8576464999932796,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,3,3,0,t,0.8947261000284925,None,0,3,3,6,6.032625599997118,,6.025020600005519,6.032625599997118,7.032541099993978,7.032541099993978,7.032541099993978,7.933339499984868,t,0.8947261000284925,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,4,4,0,t,0.643162399996072,None,0,4,4,5,7.9493671000236645,,7.940554999979213,7.9493671000236645,8.93272139999317,8.93272139999317,8.94911739998497,9.583257200021762,t,0.643162399996072,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,5,5,0,t,0.8995581999770366,None,0,5,5,3,9.599332500016317,,9.590571200009435,9.599332500016317,10.582546500023454,10.582546500023454,10.599257400026545,11.48309860000154,t,0.8995581999770366,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,6,6,0,l,1.7068757999804802,None,0,6,6,1,11.499202899984084,,11.490244299988262,11.499202899984084,12.48263310000766,12.48263310000766,12.499194199976046,14.199899400002323,l,1.7068757999804802,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,7,0,1,l,1.5263620000332594,None,1,0,7,0,14.215739400009625,,14.2070354000316,14.215739400009625,15.215622199990321,15.215622199990321,15.215622199990321,16.74996490002377,l,1.5263620000332594,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,8,1,1,l,1.9634440999943763,None,1,1,8,2,16.765684699988924,,16.757618099974934,16.765684699988924,17.749048899975605,17.749048899975605,17.76587170001585,19.716530099976808,l,1.9634440999943763,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,9,2,1,t,0.8672013000468723,None,1,2,9,5,19.732504300016444,,19.72306899999967,19.732504300016444,20.73214769997867,20.73214769997867,20.73214769997867,21.61604009999428,t,0.8672013000468723,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,10,3,1,t,4.357411600009073,None,1,3,10,4,21.632137799984775,,21.623357000004034,21.632137799984775,22.615848399989773,22.615848399989773,22.632190599979367,26.98217009997461,t,4.357411600009073,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
