reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,2.934913399978541,None,0,0,0,2,0.037793499999679625,,0.03335750009864569,0.037793499999679625,1.007850700058043,1.007850700058043,1.040759600000456,3.96771490003448,l,2.934913399978541,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
49,60,89,1,1,0,t,1.4341637999750674,None,0,1,1,4,3.980603100033477,,3.978593400097452,3.980603100033477,4.97414580010809,4.97414580010809,4.990598800010048,6.425106100039557,t,1.4341637999750674,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
11,30,7,2,2,0,l,1.744739199988544,None,0,2,2,0,6.440458600060083,,6.436802300042473,6.440458600060083,7.440547200036235,7.440547200036235,7.440547200036235,9.191619000048377,l,1.744739199988544,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
67,75,119,3,3,0,l,1.707107700058259,None,0,3,3,5,9.207178000011481,,9.198849800042808,9.207178000011481,10.190877200104296,10.190877200104296,10.207242600037716,11.908331600017846,l,1.707107700058259,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
78,80,162,4,4,0,t,2.2107989999931306,None,0,4,4,6,11.923745800042525,,11.915071700001135,11.923745800042525,12.923923199996352,12.923923199996352,12.923923199996352,15.141502600046806,t,2.2107989999931306,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
40,55,62,5,5,0,t,2.0560862000565976,None,0,5,5,3,15.15698210010305,,15.149090800085105,15.15698210010305,16.157417500042357,16.157417500042357,16.157417500042357,18.224588200100698,t,2.0560862000565976,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
15,35,13,6,6,0,l,1.7284110999898985,None,0,6,6,1,18.24044890003279,,18.231394900009036,18.24044890003279,19.24050980003085,19.24050980003085,19.24050980003085,20.975053400034085,l,1.7284110999898985,None,P001,001,21,2025-10-16_09h48.39.182,DelayDiscounting_Experiment,,2025.1.1,60.13485843832207,2025-10-16 09h48.45.750216 +0530,
