reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,l,20.142995000001974,None,0,0,0,5,0.06644999998388812,,0.06340749998344108,0.06644999998388812,1.0008513999637216,1.0008513999637216,1.0671736999647692,21.15528850001283,l,20.142995000001974,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
40,55,62,1,1,0,l,4.875647799985018,None,0,1,1,3,21.166267599968705,,21.16226660000393,21.166267599968705,22.16652209998574,22.16652209998574,22.16652209998574,27.05049469997175,l,4.875647799985018,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
15,35,13,2,2,0,t,1.7758401000173762,None,0,2,2,1,27.066203699971084,,27.05821659998037,27.066203699971084,28.049569499969948,28.049569499969948,28.066256999969482,29.83400899998378,t,1.7758401000173762,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
11,30,7,3,3,0,t,2.568117999995593,None,0,3,3,0,29.850112799962517,,29.841144900012296,29.850112799962517,30.833380399970338,30.833380399970338,30.85006229998544,33.41698410001118,t,2.568117999995593,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
49,60,89,4,4,0,t,3.5770869000116363,None,0,4,4,4,33.43269169999985,,33.4264780000085,33.43269169999985,34.41657529998338,34.41657529998338,34.43299180001486,38.00056929996936,t,3.5770869000116363,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
78,80,162,5,5,0,l,2.7835650999913923,None,0,5,5,6,38.01653309998801,,38.007552700000815,38.01653309998801,38.9997343000141,38.9997343000141,39.01646509999409,41.79999809997389,l,2.7835650999913923,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
27,50,21,6,6,0,t,1.5076970999944024,None,0,6,6,2,41.81596779997926,,41.80460219999077,41.81596779997926,42.79973379999865,42.79973379999865,42.81637670000782,44.31733220000751,t,1.5076970999944024,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
67,75,119,7,0,1,l,1.978015200002119,None,1,0,7,5,44.332946399983484,,44.32491049997043,44.332946399983484,45.332874200015794,45.332874200015794,45.332874200015794,47.316956700000446,l,1.978015200002119,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
40,55,62,8,1,1,l,6.501118199958,None,1,1,8,3,47.33305700001074,,47.32480729999952,47.33305700001074,48.33228949998738,48.33228949998738,48.33228949998738,54.8501368999714,l,6.501118199958,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
11,30,7,9,2,1,t,3.1041441000415944,None,1,2,9,0,54.86621790000936,,54.85780689999228,54.86621790000936,55.86562389996834,55.86562389996834,55.86562389996834,58.98276889999397,t,3.1041441000415944,None,341347,001,20,2025-11-05_18h40.26.118,DelayDiscounting_Experiment,,2025.1.1,59.975122325325174,2025-11-05 18h40.33.403985 +0530,
