thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
145,0,145,[np.float64(0.05694444444444444)],[np.float64(-0.0375)],[1],[0],[0],[1.1105032000341453],['Target'],145,0,145,0,187.2014463,,5,187.1832003,187.2014463,187.2014463,0.0237509,188.2938249,[np.float64(0.05694444444444444)],[np.float64(-0.0375)],[1],[0],[0],[1.1105032000341453],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
146,0,146,[np.float64(-0.14583333333333334)],[np.float64(-0.059722222222222225)],[1],[0],[0],[1.1692495999741368],['Target'],146,0,146,0,188.335189,,5,188.3177034,188.335189,188.335189,0.0236327,189.4870987,[np.float64(-0.14583333333333334)],[np.float64(-0.059722222222222225)],[1],[0],[0],[1.1692495999741368],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
147,0,147,[np.float64(0.28055555555555556)],[np.float64(0.3638888888888889)],[1],[0],[0],[2.4923746999702416],['Target'],147,0,147,0,189.5343058,,10,189.5175035,189.5343058,189.5343058,0.0301534,192.010044,[np.float64(0.28055555555555556)],[np.float64(0.3638888888888889)],[1],[0],[0],[2.4923746999702416],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
148,0,148,[np.float64(0.19166666666666668)],[np.float64(0.013888888888888888)],[1],[0],[0],[1.2580551999853924],['Target'],148,0,148,0,192.0505908,,5,192.0360377,192.0505908,192.0505908,0.0249819,193.2942223,[np.float64(0.19166666666666668)],[np.float64(0.013888888888888888)],[1],[0],[0],[1.2580551999853924],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
149,0,149,[np.float64(-0.25416666666666665)],[np.float64(0.4875)],[1],[0],[0],[1.6327679000096396],['Target'],149,0,149,0,193.3515708,,10,193.3259494,193.3515708,193.3515708,0.0314857,194.9589106,[np.float64(-0.25416666666666665)],[np.float64(0.4875)],[1],[0],[0],[1.6327679000096396],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
150,0,150,[np.float64(-0.11666666666666667)],[np.float64(-0.29583333333333334)],[1],[0],[0],[1.3835181000176817],['Target'],150,0,150,0,194.9832908,,5,194.9772608,194.9832908,194.9832908,0.0178168,196.360888,[np.float64(-0.11666666666666667)],[np.float64(-0.29583333333333334)],[1],[0],[0],[1.3835181000176817],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
151,0,151,[np.float64(0.39166666666666666)],[np.float64(-0.3611111111111111)],[1],[0],[0],[1.0942143999855034],['Target'],151,0,151,0,196.4179468,,10,196.3926838,196.4179468,196.4179468,0.0316011,197.4870957,[np.float64(0.39166666666666666)],[np.float64(-0.3611111111111111)],[1],[0],[0],[1.0942143999855034],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
152,0,152,[np.float64(-0.2125)],[np.float64(0.17083333333333334)],[1],[0],[0],[1.038074299984146],[None],152,0,152,0,197.5168356,,5,197.5053033,197.5168356,197.5168356,0.0177433,198.5434789,[np.float64(-0.2125)],[np.float64(0.17083333333333334)],[1],[0],[0],[1.038074299984146],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
153,0,153,[np.float64(0.06944444444444445)],[np.float64(0.009722222222222222)],[1],[0],[0],[1.3253045000019483],['Target'],153,0,153,0,198.5848165,,5,198.5622797,198.5848165,198.5848165,0.0185725,199.8877522,[np.float64(0.06944444444444445)],[np.float64(0.009722222222222222)],[1],[0],[0],[1.3253045000019483],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
154,0,154,[np.float64(-0.19444444444444445)],[np.float64(-0.4236111111111111)],[1],[0],[0],[1.162762499996461],['Target'],154,0,154,0,199.9335611,,5,199.9103765,199.9335611,199.9335611,0.0222595,201.0732168,[np.float64(-0.19444444444444445)],[np.float64(-0.4236111111111111)],[1],[0],[0],[1.162762499996461],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
155,0,155,[np.float64(-0.09444444444444444)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.282303799991496],[None],155,0,155,0,201.0997997,,5,201.0914681,201.0997997,201.0997997,0.0180291,202.3738367,[np.float64(-0.09444444444444444)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.282303799991496],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
156,0,156,[np.float64(0.3375)],[np.float64(-0.4361111111111111)],[1],[0],[0],[1.3513091999921016],['Target'],156,0,156,0,202.399795,,5,202.3876503,202.399795,202.399795,0.0136946,203.739302,[np.float64(0.3375)],[np.float64(-0.4361111111111111)],[1],[0],[0],[1.3513091999921016],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
157,0,157,[np.float64(0.11388888888888889)],[np.float64(0.0)],[1],[0],[0],[2.267384300008416],[None],157,0,157,0,203.7668306,,5,203.7548369,203.7668306,203.7668306,0.0153896,206.0222993,[np.float64(0.11388888888888889)],[np.float64(0.0)],[1],[0],[0],[2.267384300008416],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
158,0,158,[np.float64(-0.22361111111111112)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.477435400011018],['Target'],158,0,158,0,206.0667281,,10,206.0439098,206.0667281,206.0667281,0.0214624,207.5214247,[np.float64(-0.22361111111111112)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.477435400011018],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
159,0,159,[np.float64(0.10138888888888889)],[np.float64(-0.10416666666666667)],[1],[0],[0],[1.5309047999908216],['Target'],159,0,159,0,207.616166,,10,207.6043639,207.616166,207.616166,0.0827403,209.1353494,[np.float64(0.10138888888888889)],[np.float64(-0.10416666666666667)],[1],[0],[0],[1.5309047999908216],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
160,0,160,[np.float64(0.25972222222222224)],[np.float64(-0.16944444444444445)],[1],[0],[0],[1.3311289999983273],['Target'],160,0,160,0,209.1662073,,10,209.1566682,209.1662073,209.1662073,0.0211475,210.4878985,[np.float64(0.25972222222222224)],[np.float64(-0.16944444444444445)],[1],[0],[0],[1.3311289999983273],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
161,0,161,[np.float64(-0.47638888888888886)],[np.float64(-0.4708333333333333)],[1],[0],[0],[1.0718183999997564],['Target'],161,0,161,0,210.5328773,,10,210.5134319,210.5328773,210.5328773,0.025301,211.5853627,[np.float64(-0.47638888888888886)],[np.float64(-0.4708333333333333)],[1],[0],[0],[1.0718183999997564],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
162,0,162,[np.float64(-0.05694444444444444)],[np.float64(0.3125)],[1],[0],[0],[1.171208999992814],['Target'],162,0,162,0,211.6174575,,5,211.6020713,211.6174575,211.6174575,0.0164636,212.7734011,[np.float64(-0.05694444444444444)],[np.float64(0.3125)],[1],[0],[0],[1.171208999992814],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
163,0,163,[np.float64(-0.07777777777777778)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.015457500005141],['Target'],163,0,163,0,212.8162749,,10,212.8032325,212.8162749,212.8162749,0.0296361,213.8188331,[np.float64(-0.07777777777777778)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.015457500005141],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
164,0,164,[np.float64(0.2388888888888889)],[np.float64(0.4625)],[1],[0],[0],[0.9881345000467263],['Target'],164,0,164,0,213.8668532,,10,213.8500119,213.8668532,213.8668532,0.0308173,214.8382698,[np.float64(0.2388888888888889)],[np.float64(0.4625)],[1],[0],[0],[0.9881345000467263],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
165,0,165,[np.float64(0.34305555555555556)],[np.float64(-0.2111111111111111)],[1],[0],[0],[1.1284712000051513],[None],165,0,165,0,214.8840249,,5,214.8597871,214.8840249,214.8840249,0.0203656,215.9883091,[np.float64(0.34305555555555556)],[np.float64(-0.2111111111111111)],[1],[0],[0],[1.1284712000051513],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
166,0,166,[np.float64(-0.004166666666666667)],[np.float64(0.3236111111111111)],[1],[0],[0],[1.109048200014513],['Target'],166,0,166,0,216.0344095,,10,216.0157499,216.0344095,216.0344095,0.0273408,217.1249301,[np.float64(-0.004166666666666667)],[np.float64(0.3236111111111111)],[1],[0],[0],[1.109048200014513],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
167,0,167,[np.float64(-0.2986111111111111)],[np.float64(0.12777777777777777)],[1],[0],[0],[1.0433560999808833],['Target'],167,0,167,0,217.1833008,,10,217.1629069,217.1833008,217.1833008,0.0375822,218.2066477,[np.float64(-0.2986111111111111)],[np.float64(0.12777777777777777)],[1],[0],[0],[1.0433560999808833],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
168,0,168,[np.float64(-0.4111111111111111)],[np.float64(0.19027777777777777)],[1],[0],[0],[1.2313680000370368],['Target'],168,0,168,0,218.2660533,,10,218.2395155,218.2660533,218.2660533,0.0327351,219.4709704,[np.float64(-0.4111111111111111)],[np.float64(0.19027777777777777)],[1],[0],[0],[1.2313680000370368],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
169,0,169,[np.float64(0.17083333333333334)],[np.float64(-0.1986111111111111)],[1],[0],[0],[2.7731167000019923],['Target'],169,0,169,0,219.516108,,10,219.4982622,219.516108,219.516108,0.0270841,222.2714807,[np.float64(0.17083333333333334)],[np.float64(-0.1986111111111111)],[1],[0],[0],[2.7731167000019923],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
170,0,170,[np.float64(0.22361111111111112)],[np.float64(0.38472222222222224)],[1],[0],[0],[1.3176329000270925],['Target'],170,0,170,0,222.2991363,,5,222.287873,222.2991363,222.2991363,0.0162104,223.6055663,[np.float64(0.22361111111111112)],[np.float64(0.38472222222222224)],[1],[0],[0],[1.3176329000270925],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
171,0,171,[np.float64(-0.17083333333333334)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.0728365000104532],['Target'],171,0,171,0,223.6495943,,10,223.6326876,223.6495943,223.6495943,0.0270182,224.7055797,[np.float64(-0.17083333333333334)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.0728365000104532],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
172,0,172,[np.float64(-0.11805555555555555)],[np.float64(0.08611111111111111)],[1],[0],[0],[1.080741100013256],['Target'],172,0,172,0,224.7494038,,5,224.7249046,224.7494038,224.7494038,0.0189396,225.8056907,[np.float64(-0.11805555555555555)],[np.float64(0.08611111111111111)],[1],[0],[0],[1.080741100013256],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
173,0,173,[np.float64(0.3763888888888889)],[np.float64(0.4041666666666667)],[1],[0],[0],[1.4355391000281088],['Target'],173,0,173,0,225.849179,,10,225.8357855,225.849179,225.849179,0.0299149,227.2714204,[np.float64(0.3763888888888889)],[np.float64(0.4041666666666667)],[1],[0],[0],[1.4355391000281088],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
174,0,174,[np.float64(-0.02361111111111111)],[np.float64(-0.020833333333333332)],[1],[0],[0],[2.406236600014381],['Target'],174,0,174,0,227.3159366,,10,227.2959346,227.3159366,227.3159366,0.0242616,229.7022393,[np.float64(-0.02361111111111111)],[np.float64(-0.020833333333333332)],[1],[0],[0],[2.406236600014381],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
175,0,175,[np.float64(-0.25833333333333336)],[np.float64(0.06527777777777778)],[1],[0],[0],[1.0147223999956623],['Target'],175,0,175,0,229.7329166,,10,229.7233527,229.7329166,229.7329166,0.020981,230.738143,[np.float64(-0.25833333333333336)],[np.float64(0.06527777777777778)],[1],[0],[0],[1.0147223999956623],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
176,0,176,[np.float64(-0.1638888888888889)],[np.float64(-0.07222222222222222)],[1],[0],[0],[1.0741090000374243],['Target'],176,0,176,0,230.7667026,,5,230.7504745,230.7667026,230.7667026,0.012201,231.8246886,[np.float64(-0.1638888888888889)],[np.float64(-0.07222222222222222)],[1],[0],[0],[1.0741090000374243],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
177,0,177,[np.float64(-0.39861111111111114)],[np.float64(0.24305555555555555)],[1],[0],[0],[1.10183820000384],['Target'],177,0,177,0,231.8837184,,10,231.8545491,231.8837184,231.8837184,0.0296688,232.9564596,[np.float64(-0.39861111111111114)],[np.float64(0.24305555555555555)],[1],[0],[0],[1.10183820000384],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
178,0,178,[np.float64(0.35555555555555557)],[np.float64(-0.37222222222222223)],[1],[0],[0],[1.169852200022433],['Target'],178,0,178,0,233.0001515,,10,232.9887084,233.0001515,233.0001515,0.0321088,234.1587137,[np.float64(0.35555555555555557)],[np.float64(-0.37222222222222223)],[1],[0],[0],[1.169852200022433],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
179,0,179,[np.float64(-0.2111111111111111)],[np.float64(0.0875)],[1],[0],[0],[1.0595532999723218],['Target'],179,0,179,0,234.2162079,,10,234.1931609,234.2162079,234.2162079,0.0341199,235.2528439,[np.float64(-0.2111111111111111)],[np.float64(0.0875)],[1],[0],[0],[1.0595532999723218],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
180,0,180,[np.float64(0.20277777777777778)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.092634000000544],['Target'],180,0,180,0,235.3005907,,10,235.284853,235.3005907,235.3005907,0.0317537,236.3776259,[np.float64(0.20277777777777778)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.092634000000544],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
181,0,181,[np.float64(0.20277777777777778)],[np.float64(0.25972222222222224)],[1],[0],[0],[1.3126485999673605],['Target'],181,0,181,0,236.417344,,5,236.3977444,236.417344,236.417344,0.0198816,237.7105833,[np.float64(0.20277777777777778)],[np.float64(0.25972222222222224)],[1],[0],[0],[1.3126485999673605],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
182,0,182,[np.float64(0.2361111111111111)],[np.float64(-0.43194444444444446)],[1],[0],[0],[1.190149400033988],['Target'],182,0,182,0,237.7512215,,5,237.729396,237.7512215,237.7512215,0.0184512,238.9196658,[np.float64(0.2361111111111111)],[np.float64(-0.43194444444444446)],[1],[0],[0],[1.190149400033988],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
183,0,183,[np.float64(-0.3527777777777778)],[np.float64(0.25833333333333336)],[1],[0],[0],[1.32573699997738],[None],183,0,183,0,238.9658721,,10,238.9482056,238.9658721,238.9658721,0.0282507,240.2741295,[np.float64(-0.3527777777777778)],[np.float64(0.25833333333333336)],[1],[0],[0],[1.32573699997738],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
184,0,184,[np.float64(0.34444444444444444)],[np.float64(0.2875)],[1],[0],[0],[1.1469703000038862],['Target'],184,0,184,0,240.3331075,,10,240.3111802,240.3331075,240.3331075,0.0366958,241.4582856,[np.float64(0.34444444444444444)],[np.float64(0.2875)],[1],[0],[0],[1.1469703000038862],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
185,0,185,[np.float64(0.39166666666666666)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.3694688999676146],['Target'],185,0,185,0,241.5156999,,10,241.4914283,241.5156999,241.5156999,0.0328452,242.8614034,[np.float64(0.39166666666666666)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.3694688999676146],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
186,0,186,[np.float64(0.3013888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[1.7288701999932528],['Target'],186,0,186,0,242.9164872,,10,242.8956509,242.9164872,242.9164872,0.0337718,244.624679,[np.float64(0.3013888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[1.7288701999932528],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
187,0,187,[np.float64(-0.41944444444444445)],[np.float64(-0.24583333333333332)],[1],[0],[0],[1.1421052999794483],['Target'],187,0,187,0,244.6670739,,5,244.650577,244.6670739,244.6670739,0.025496,245.7928538,[np.float64(-0.41944444444444445)],[np.float64(-0.24583333333333332)],[1],[0],[0],[1.1421052999794483],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
188,0,188,[np.float64(0.48194444444444445)],[np.float64(-0.16666666666666666)],[1],[0],[0],[1.3899799999780953],['Target'],188,0,188,0,245.83258,,5,245.8195907,245.83258,245.83258,0.0263869,247.2096934,[np.float64(0.48194444444444445)],[np.float64(-0.16666666666666666)],[1],[0],[0],[1.3899799999780953],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
189,0,189,[np.float64(0.24444444444444444)],[np.float64(-0.09583333333333334)],[1],[0],[0],[1.9662380999652669],['Target'],189,0,189,0,247.265739,,10,247.2421759,247.265739,247.265739,0.032254,249.2085506,[np.float64(0.24444444444444444)],[np.float64(-0.09583333333333334)],[1],[0],[0],[1.9662380999652669],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
190,0,190,[np.float64(-0.30972222222222223)],[np.float64(-0.2861111111111111)],[1],[0],[0],[2.238945599994622],['Target'],190,0,190,0,249.2501122,,10,249.2367168,249.2501122,249.2501122,0.0278292,251.4758242,[np.float64(-0.30972222222222223)],[np.float64(-0.2861111111111111)],[1],[0],[0],[2.238945599994622],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
191,0,191,[np.float64(-0.022222222222222223)],[np.float64(0.06805555555555555)],[1],[0],[0],[1.2734981999965385],[None],191,0,191,0,251.5166037,,5,251.5000661,251.5166037,251.5166037,0.023873,252.7736994,[np.float64(-0.022222222222222223)],[np.float64(0.06805555555555555)],[1],[0],[0],[1.2734981999965385],[None],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
192,0,192,[np.float64(-0.34444444444444444)],[np.float64(0.4638888888888889)],[1],[0],[0],[1.6657504999893717],['Target'],192,0,192,0,252.8322954,,10,252.8186285,252.8322954,252.8322954,0.044683,254.4844408,[np.float64(-0.34444444444444444)],[np.float64(0.4638888888888889)],[1],[0],[0],[1.6657504999893717],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
193,0,193,[np.float64(-0.18333333333333332)],[np.float64(0.17777777777777778)],[1],[0],[0],[1.0632993999752216],['Target'],193,0,193,0,254.5160091,,5,254.4948519,254.5160091,254.5160091,0.0102978,255.5582763,[np.float64(-0.18333333333333332)],[np.float64(0.17777777777777778)],[1],[0],[0],[1.0632993999752216],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
194,0,194,[np.float64(-0.05)],[np.float64(0.14444444444444443)],[1],[0],[0],[1.1385140999918804],['Target'],194,0,194,0,255.6159609,,10,255.596545,255.6159609,255.6159609,0.0373028,256.7352138,[np.float64(-0.05)],[np.float64(0.14444444444444443)],[1],[0],[0],[1.1385140999918804],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
195,0,195,[np.float64(0.35555555555555557)],[np.float64(-0.2763888888888889)],[1],[0],[0],[1.2195391999557614],['Target'],195,0,195,0,256.7665259,,5,256.7561896,256.7665259,256.7665259,0.0206042,257.9758504,[np.float64(0.35555555555555557)],[np.float64(-0.2763888888888889)],[1],[0],[0],[1.2195391999557614],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
196,0,196,[np.float64(0.10138888888888889)],[np.float64(0.4375)],[1],[0],[0],[1.1862346000270918],['Target'],196,0,196,0,258.0160267,,10,258.0051603,258.0160267,258.0160267,0.0290279,259.1916075,[np.float64(0.10138888888888889)],[np.float64(0.4375)],[1],[0],[0],[1.1862346000270918],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
197,0,197,[np.float64(0.020833333333333332)],[np.float64(0.31805555555555554)],[1],[0],[0],[1.0833815999794751],['Target'],197,0,197,0,259.250271,,10,259.2262316,259.250271,259.250271,0.0341597,260.3097473,[np.float64(0.020833333333333332)],[np.float64(0.31805555555555554)],[1],[0],[0],[1.0833815999794751],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
198,0,198,[np.float64(0.08888888888888889)],[np.float64(-0.3597222222222222)],[1],[0],[0],[1.0018083000322804],['Target'],198,0,198,0,260.3660219,,10,260.3422088,260.3660219,260.3660219,0.0321465,261.3441928,[np.float64(0.08888888888888889)],[np.float64(-0.3597222222222222)],[1],[0],[0],[1.0018083000322804],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
199,0,199,[np.float64(-0.30277777777777776)],[np.float64(-0.04722222222222222)],[1],[0],[0],[1.01792110002134],['Target'],199,0,199,0,261.3826088,,5,261.3678694,261.3826088,261.3826088,0.0232267,262.3858824,[np.float64(-0.30277777777777776)],[np.float64(-0.04722222222222222)],[1],[0],[0],[1.01792110002134],['Target'],P1,1,2025-09-30_15h25.41.276,VisualSearch,,2025.1.1,59.7287003,2025-09-30 15h25.45.583107 +0530
