thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.3958333333333333)],[np.float64(-0.04027777777777778)],[1],[0],[0],[1.7197398000280373],[None],0,0,0,0,0.0805328999995254,,10,0.04895049997139722,0.0805328999995254,0.0805328999995254,0.04898630001116544,1.7687807999900542,[np.float64(-0.3958333333333333)],[np.float64(-0.04027777777777778)],[1],[0],[0],[1.7197398000280373],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
1,0,1,[np.float64(0.15694444444444444)],[np.float64(-0.19166666666666668)],[1],[0],[0],[0.8471141000045463],['Target'],1,0,1,0,1.796180600009393,,5,1.786828099982813,1.796180600009393,1.796180600009393,0.017843600013293326,2.6340820000041276,[np.float64(0.15694444444444444)],[np.float64(-0.19166666666666668)],[1],[0],[0],[0.8471141000045463],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
2,0,2,[np.float64(0.39444444444444443)],[np.float64(-0.48055555555555557)],[1],[0],[0],[1.159511499979999],[None],2,0,2,0,2.6798155999858864,,10,2.6630499999737367,2.6798155999858864,2.6798155999858864,0.028680399991571903,3.822708000021521,[np.float64(0.39444444444444443)],[np.float64(-0.48055555555555557)],[1],[0],[0],[1.159511499979999],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
3,0,3,[np.float64(0.015277777777777777)],[np.float64(-0.005555555555555556)],[1],[0],[0],[0.8093195999972522],[None],3,0,3,0,3.8634966000099666,,5,3.846553999988828,3.8634966000099666,3.8634966000099666,0.023485900019295514,4.6560792999807745,[np.float64(0.015277777777777777)],[np.float64(-0.005555555555555556)],[1],[0],[0],[0.8093195999972522],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
4,0,4,[np.float64(0.08611111111111111)],[np.float64(-0.4791666666666667)],[1],[0],[0],[0.9727161000482738],[None],4,0,4,0,4.6963498999830335,,5,4.682563700014725,4.6963498999830335,4.6963498999830335,0.026076799957081676,5.655429499980528,[np.float64(0.08611111111111111)],[np.float64(-0.4791666666666667)],[1],[0],[0],[0.9727161000482738],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
5,0,5,[np.float64(-0.35138888888888886)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.9218097000266425],[None],5,0,5,0,5.697183299984317,,5,5.683160900021903,5.697183299984317,5.697183299984317,0.027355699974577874,6.605114899983164,[np.float64(-0.35138888888888886)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.9218097000266425],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
6,0,6,[np.float64(-0.1875)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.4146678000106476],['Target'],6,0,6,0,6.663209300022572,,10,6.639313100022264,6.663209300022572,6.663209300022572,0.033917699998710304,8.054137400002219,[np.float64(-0.1875)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.4146678000106476],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
7,0,7,[np.float64(0.11527777777777778)],[np.float64(0.12638888888888888)],[1],[0],[0],[0.7957256999798119],['Target'],7,0,7,0,8.096744499984197,,5,8.077016600000206,8.096744499984197,8.096744499984197,0.02251139999134466,8.872897799999919,[np.float64(0.11527777777777778)],[np.float64(0.12638888888888888)],[1],[0],[0],[0.7957256999798119],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
8,0,8,[np.float64(-0.3875)],[np.float64(0.1361111111111111)],[1],[0],[0],[0.9223504000110552],[None],8,0,8,0,8.913037599995732,,5,8.900642800028436,8.913037599995732,8.913037599995732,0.027396799996495247,9.823141100001521,[np.float64(-0.3875)],[np.float64(0.1361111111111111)],[1],[0],[0],[0.9223504000110552],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
9,0,9,[np.float64(0.15555555555555556)],[np.float64(-0.49722222222222223)],[1],[0],[0],[1.7225992000312544],['Target'],9,0,9,0,9.930314199998975,,10,9.910726099973544,9.930314199998975,9.930314199998975,0.08728860004339367,11.633521199983079,[np.float64(0.15555555555555556)],[np.float64(-0.49722222222222223)],[1],[0],[0],[1.7225992000312544],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
