thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,0,10,[np.float64(0.029166666666666667)],[np.float64(-0.20972222222222223)],[1],[0],[0],[1.0482651000493206],['Target'],10,0,10,0,11.679989200027194,,5,11.658467900007963,11.679989200027194,11.679989200027194,0.024487700022291392,12.706925400008913,[np.float64(0.029166666666666667)],[np.float64(-0.20972222222222223)],[1],[0],[0],[1.0482651000493206],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
11,0,11,[np.float64(-0.3888888888888889)],[np.float64(-0.07222222222222222)],[1],[0],[0],[0.8832702999934554],['Target'],11,0,11,0,12.779977999976836,,10,12.75488740002038,12.779977999976836,12.779977999976836,0.04754629998933524,13.638315299991518,[np.float64(-0.3888888888888889)],[np.float64(-0.07222222222222222)],[1],[0],[0],[0.8832702999934554],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
12,0,12,[np.float64(-0.002777777777777778)],[np.float64(0.07916666666666666)],[1],[0],[0],[0.8811287000426091],[None],12,0,12,0,13.696418899984565,,10,13.674557799997274,13.696418899984565,13.696418899984565,0.03589440003270283,14.555896500009112,[np.float64(-0.002777777777777778)],[np.float64(0.07916666666666666)],[1],[0],[0],[0.8811287000426091],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
13,0,13,[np.float64(0.1736111111111111)],[np.float64(-0.3888888888888889)],[1],[0],[0],[0.8240331999841146],[None],13,0,13,0,14.596309199987445,,5,14.580896999977995,14.596309199987445,14.596309199987445,0.02448200003709644,15.405118700000457,[np.float64(0.1736111111111111)],[np.float64(-0.3888888888888889)],[1],[0],[0],[0.8240331999841146],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
14,0,14,[np.float64(-0.1375)],[np.float64(0.16944444444444445)],[1],[0],[0],[1.2280636999639682],['Target'],14,0,14,0,15.463094900012948,,10,15.443457200017292,15.463094900012948,15.463094900012948,0.038058600039221346,16.671737500000745,[np.float64(-0.1375)],[np.float64(0.16944444444444445)],[1],[0],[0],[1.2280636999639682],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
15,0,15,[np.float64(0.37222222222222223)],[np.float64(-0.25277777777777777)],[1],[0],[0],[1.019328999973368],['Target'],15,0,15,0,16.712840799998958,,5,16.702871199988294,16.712840799998958,16.712840799998958,0.030659699987154454,17.72233329998562,[np.float64(0.37222222222222223)],[np.float64(-0.25277777777777777)],[1],[0],[0],[1.019328999973368],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
16,0,16,[np.float64(-0.2722222222222222)],[np.float64(0.2263888888888889)],[1],[0],[0],[1.0448615999775939],['Target'],16,0,16,0,17.779499700001907,,10,17.759496000013314,17.779499700001907,17.779499700001907,0.03686169994762167,18.80450899997959,[np.float64(-0.2722222222222222)],[np.float64(0.2263888888888889)],[1],[0],[0],[1.0448615999775939],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
17,0,17,[np.float64(0.11527777777777778)],[np.float64(0.35833333333333334)],[1],[0],[0],[1.0755327000515535],['Target'],17,0,17,0,18.846375700028148,,5,18.830549600010272,18.846375700028148,18.846375700028148,0.025714299990795553,19.906306600023527,[np.float64(0.11527777777777778)],[np.float64(0.35833333333333334)],[1],[0],[0],[1.0755327000515535],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
18,0,18,[np.float64(-0.3625)],[np.float64(-0.30833333333333335)],[1],[0],[0],[0.9580067999777384],['Target'],18,0,18,0,19.946546800027136,,5,19.92907469999045,19.946546800027136,19.946546800027136,0.022334699984639883,20.887228399980813,[np.float64(-0.3625)],[np.float64(-0.30833333333333335)],[1],[0],[0],[0.9580067999777384],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
19,0,19,[np.float64(0.1361111111111111)],[np.float64(-0.2708333333333333)],[1],[0],[0],[0.6987536999513395],[None],19,0,19,0,20.930120799981523,,5,20.907677199982572,20.930120799981523,20.930120799981523,0.020155399979557842,21.60666280001169,[np.float64(0.1361111111111111)],[np.float64(-0.2708333333333333)],[1],[0],[0],[0.6987536999513395],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
20,0,20,[np.float64(0.013888888888888888)],[np.float64(0.06111111111111111)],[1],[0],[0],[0.9092862999532372],[None],20,0,20,0,21.66328939999221,,10,21.647588499996345,21.66328939999221,21.66328939999221,0.04052370000863448,22.55704689997947,[np.float64(0.013888888888888888)],[np.float64(0.06111111111111111)],[1],[0],[0],[0.9092862999532372],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
21,0,21,[np.float64(-0.08055555555555556)],[np.float64(-0.1111111111111111)],[1],[0],[0],[1.0756011999910697],[None],21,0,21,0,22.61271630000556,,10,22.592077300010715,22.61271630000556,22.61271630000556,0.03466239996487275,23.66788359999191,[np.float64(-0.08055555555555556)],[np.float64(-0.1111111111111111)],[1],[0],[0],[1.0756011999910697],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
22,0,22,[np.float64(-0.15555555555555556)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.7544236999819987],[None],22,0,22,0,23.71286660002079,,5,23.697192599996924,23.71286660002079,23.71286660002079,0.028964800003450364,24.45181009999942,[np.float64(-0.15555555555555556)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.7544236999819987],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
23,0,23,[np.float64(0.30972222222222223)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.2208579999860376],[None],23,0,23,0,24.49643549998291,,5,24.47901249997085,24.49643549998291,24.49643549998291,0.026825399952940643,25.70007700001588,[np.float64(0.30972222222222223)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.2208579999860376],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
24,0,24,[np.float64(-0.17916666666666667)],[np.float64(-0.13333333333333333)],[1],[0],[0],[1.049691799969878],[None],24,0,24,0,25.76273630000651,,10,25.73844410001766,25.76273630000651,25.76273630000651,0.038079500023741275,26.788374800002202,[np.float64(-0.17916666666666667)],[np.float64(-0.13333333333333333)],[1],[0],[0],[1.049691799969878],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
25,0,25,[np.float64(-0.42083333333333334)],[np.float64(-0.2902777777777778)],[1],[0],[0],[1.0578494999790564],['Target'],25,0,25,0,26.829191100026947,,5,26.814249499992002,26.829191100026947,26.829191100026947,0.025384599983226508,27.872257900016848,[np.float64(-0.42083333333333334)],[np.float64(-0.2902777777777778)],[1],[0],[0],[1.0578494999790564],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
26,0,26,[np.float64(0.16666666666666666)],[np.float64(-0.059722222222222225)],[1],[0],[0],[1.0132746000308543],['Target'],26,0,26,0,27.94614569999976,,10,27.91830800002208,27.94614569999976,27.94614569999976,0.04566170001635328,28.931766299996525,[np.float64(0.16666666666666666)],[np.float64(-0.059722222222222225)],[1],[0],[0],[1.0132746000308543],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
27,0,27,[np.float64(-0.20416666666666666)],[np.float64(-0.2875)],[1],[0],[0],[0.929461799969431],['Target'],27,0,27,0,28.979146700003184,,5,28.95915830001468,28.979146700003184,28.979146700003184,0.026959799986798316,29.888777400017716,[np.float64(-0.20416666666666666)],[np.float64(-0.2875)],[1],[0],[0],[0.929461799969431],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
28,0,28,[np.float64(0.24583333333333332)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.8434410000336356],[None],28,0,28,0,29.96267729997635,,10,29.938207199971657,29.96267729997635,29.96267729997635,0.04914369998732582,30.78174130001571,[np.float64(0.24583333333333332)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.8434410000336356],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
29,0,29,[np.float64(0.04861111111111111)],[np.float64(-0.001388888888888889)],[1],[0],[0],[0.847741000005044],[None],29,0,29,0,30.82916480000131,,10,30.806826299987733,30.82916480000131,30.82916480000131,0.02485089999390766,31.65477349999128,[np.float64(0.04861111111111111)],[np.float64(-0.001388888888888889)],[1],[0],[0],[0.847741000005044],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
30,0,30,[np.float64(-0.325)],[np.float64(-0.15416666666666667)],[1],[0],[0],[0.9309591000201181],['Target'],30,0,30,0,31.69582010002341,,5,31.684502999996766,31.69582010002341,31.69582010002341,0.02926599996862933,32.61555990000488,[np.float64(-0.325)],[np.float64(-0.15416666666666667)],[1],[0],[0],[0.9309591000201181],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
31,0,31,[np.float64(-0.44583333333333336)],[np.float64(0.09861111111111111)],[1],[0],[0],[1.0140264999936335],[None],31,0,31,0,32.66229559999192,,5,32.64058659999864,32.66229559999192,32.66229559999192,0.02483139996184036,33.65476599999238,[np.float64(-0.44583333333333336)],[np.float64(0.09861111111111111)],[1],[0],[0],[1.0140264999936335],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
32,0,32,[np.float64(0.3125)],[np.float64(-0.3611111111111111)],[1],[0],[0],[0.9576846999698319],['Target'],32,0,32,0,33.71444940002402,,10,33.69361780001782,33.71444940002402,33.71444940002402,0.03853520000120625,34.65143540001009,[np.float64(0.3125)],[np.float64(-0.3611111111111111)],[1],[0],[0],[0.9576846999698319],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
33,0,33,[np.float64(-0.14305555555555555)],[np.float64(0.15138888888888888)],[1],[0],[0],[0.9273818000219762],[None],33,0,33,0,34.69560049998108,,10,34.676895799988415,34.69560049998108,34.69560049998108,0.025049199990462512,35.60442330001388,[np.float64(-0.14305555555555555)],[np.float64(0.15138888888888888)],[1],[0],[0],[0.9273818000219762],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
34,0,34,[np.float64(-0.2388888888888889)],[np.float64(-0.31527777777777777)],[1],[0],[0],[1.8074927999987267],[None],34,0,34,0,35.66363600001205,,10,35.642742399999406,35.66363600001205,35.66363600001205,0.037993299949448556,37.450340099981986,[np.float64(-0.2388888888888889)],[np.float64(-0.31527777777777777)],[1],[0],[0],[1.8074927999987267],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
35,0,35,[np.float64(-0.19027777777777777)],[np.float64(0.16527777777777777)],[1],[0],[0],[0.8056443000095896],[None],35,0,35,0,37.47858350002207,,5,37.46534170000814,37.47858350002207,37.47858350002207,0.014786300016567111,38.27113860001555,[np.float64(-0.19027777777777777)],[np.float64(0.16527777777777777)],[1],[0],[0],[0.8056443000095896],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
36,0,36,[np.float64(-0.3875)],[np.float64(0.2902777777777778)],[1],[0],[0],[0.7927326000062749],[None],36,0,36,0,38.31259270000737,,5,38.296440300007816,38.31259270000737,38.31259270000737,0.025038700026925653,39.089341500017326,[np.float64(-0.3875)],[np.float64(0.2902777777777778)],[1],[0],[0],[0.7927326000062749],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
37,0,37,[np.float64(0.1361111111111111)],[np.float64(0.034722222222222224)],[1],[0],[0],[0.942204800026957],[None],37,0,37,0,39.1456905999803,,10,39.12902719998965,39.1456905999803,39.1456905999803,0.03938049997668713,40.07139639998786,[np.float64(0.1361111111111111)],[np.float64(0.034722222222222224)],[1],[0],[0],[0.942204800026957],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
38,0,38,[np.float64(-0.15694444444444444)],[np.float64(0.10833333333333334)],[1],[0],[0],[0.7860121999983676],['Target'],38,0,38,0,40.12941649998538,,5,40.10269580001477,40.12941649998538,40.12941649998538,0.030840299965348095,40.88888899999438,[np.float64(-0.15694444444444444)],[np.float64(0.10833333333333334)],[1],[0],[0],[0.7860121999983676],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
39,0,39,[np.float64(-0.14583333333333334)],[np.float64(0.2916666666666667)],[1],[0],[0],[0.5062834999989718],['Target'],39,0,39,0,40.928988399973605,,5,40.91454299999168,40.928988399973605,40.928988399973605,0.025356800004374236,41.4209722999949,[np.float64(-0.14583333333333334)],[np.float64(0.2916666666666667)],[1],[0],[0],[0.5062834999989718],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
40,0,40,[np.float64(0.26666666666666666)],[np.float64(-0.005555555555555556)],[1],[0],[0],[0.915081899962388],['Target'],40,0,40,0,41.462638599972706,,5,41.45077609998407,41.462638599972706,41.462638599972706,0.029557100031524897,42.36601180001162,[np.float64(0.26666666666666666)],[np.float64(-0.005555555555555556)],[1],[0],[0],[0.915081899962388],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
41,0,41,[np.float64(0.16111111111111112)],[np.float64(0.1638888888888889)],[1],[0],[0],[0.9432743999641389],['Target'],41,0,41,0,42.41259199997876,,5,42.395096499996725,42.41259199997876,42.41259199997876,0.028826599998865277,43.33851119998144,[np.float64(0.16111111111111112)],[np.float64(0.1638888888888889)],[1],[0],[0],[0.9432743999641389],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
42,0,42,[np.float64(-0.09305555555555556)],[np.float64(-0.35)],[1],[0],[0],[0.8093621000298299],['Target'],42,0,42,0,43.39555199997267,,10,43.37936429999536,43.39555199997267,43.39555199997267,0.040576100000180304,44.1888785000192,[np.float64(-0.09305555555555556)],[np.float64(-0.35)],[1],[0],[0],[0.8093621000298299],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
43,0,43,[np.float64(0.043055555555555555)],[np.float64(-0.07361111111111111)],[1],[0],[0],[0.9448020999552682],[None],43,0,43,0,44.24550750001799,,10,44.22568889998365,44.24550750001799,44.24550750001799,0.036474999971687794,45.170694199972786,[np.float64(0.043055555555555555)],[np.float64(-0.07361111111111111)],[1],[0],[0],[0.9448020999552682],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
44,0,44,[np.float64(-0.37777777777777777)],[np.float64(-0.41388888888888886)],[1],[0],[0],[2.213176899997052],['Target'],44,0,44,0,45.22972070000833,,10,45.207242399977986,45.22972070000833,45.22972070000833,0.036064299987629056,47.42057010001736,[np.float64(-0.37777777777777777)],[np.float64(-0.41388888888888886)],[1],[0],[0],[2.213176899997052],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
45,0,45,[np.float64(0.12638888888888888)],[np.float64(-0.39861111111111114)],[1],[0],[0],[0.8586875000037253],['Target'],45,0,45,0,47.462181699986104,,5,47.44550309999613,47.462181699986104,47.462181699986104,0.02455289999488741,48.30434410000453,[np.float64(0.12638888888888888)],[np.float64(-0.39861111111111114)],[1],[0],[0],[0.8586875000037253],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
46,0,46,[np.float64(-0.2875)],[np.float64(0.22777777777777777)],[1],[0],[0],[0.9084945000358857],['Target'],46,0,46,0,48.36235429998487,,10,48.3387584000011,48.36235429998487,48.36235429998487,0.034147200000006706,49.247420399973635,[np.float64(-0.2875)],[np.float64(0.22777777777777777)],[1],[0],[0],[0.9084945000358857],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
47,0,47,[np.float64(-0.020833333333333332)],[np.float64(-0.1111111111111111)],[1],[0],[0],[0.8090647000353783],[None],47,0,47,0,49.29566549998708,,5,49.27892640000209,49.29566549998708,49.29566549998708,0.031207799969706684,50.08829420001712,[np.float64(-0.020833333333333332)],[np.float64(-0.1111111111111111)],[1],[0],[0],[0.8090647000353783],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
48,0,48,[np.float64(0.3055555555555556)],[np.float64(0.05416666666666667)],[1],[0],[0],[0.8980985999805853],['Target'],48,0,48,0,50.14553669997258,,5,50.12194849998923,50.14553669997258,50.14553669997258,0.03322949999710545,51.020170799980406,[np.float64(0.3055555555555556)],[np.float64(0.05416666666666667)],[1],[0],[0],[0.8980985999805853],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
49,0,49,[np.float64(-0.20416666666666666)],[np.float64(0.26944444444444443)],[1],[0],[0],[1.0555479999748059],[None],49,0,49,0,51.06212159997085,,5,51.04838870000094,51.06212159997085,51.06212159997085,0.027936200029216707,52.104081799974665,[np.float64(-0.20416666666666666)],[np.float64(0.26944444444444443)],[1],[0],[0],[1.0555479999748059],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
50,0,50,[np.float64(0.2916666666666667)],[np.float64(0.3527777777777778)],[1],[0],[0],[0.9735359000042081],['Target'],50,0,50,0,52.14477369998349,,5,52.13259739999194,52.14477369998349,52.14477369998349,0.028240299958270043,53.10627490002662,[np.float64(0.2916666666666667)],[np.float64(0.3527777777777778)],[1],[0],[0],[0.9735359000042081],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
51,0,51,[np.float64(0.35138888888888886)],[np.float64(0.05)],[1],[0],[0],[1.324214199965354],[None],51,0,51,0,53.17870310001308,,10,53.15764819999458,53.17870310001308,53.17870310001308,0.05112299998290837,54.48202820000006,[np.float64(0.35138888888888886)],[np.float64(0.05)],[1],[0],[0],[1.324214199965354],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
52,0,52,[np.float64(0.11527777777777778)],[np.float64(0.4388888888888889)],[1],[0],[0],[0.9091292000375688],['Target'],52,0,52,0,54.52863449999131,,10,54.51150389999384,54.52863449999131,54.52863449999131,0.02917870000237599,55.420786099974066,[np.float64(0.11527777777777778)],[np.float64(0.4388888888888889)],[1],[0],[0],[0.9091292000375688],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
53,0,53,[np.float64(0.40555555555555556)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.421266800025478],['Target'],53,0,53,0,55.47846740001114,,10,55.46156460000202,55.47846740001114,55.47846740001114,0.040457700029946864,56.882983900024556,[np.float64(0.40555555555555556)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.421266800025478],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
54,0,54,[np.float64(0.4722222222222222)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.1041742999805138],['Target'],54,0,54,0,56.92878999997629,,10,56.91122860001633,56.92878999997629,56.92878999997629,0.027791499975137413,58.01554390002275,[np.float64(0.4722222222222222)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.1041742999805138],['Target'],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
55,0,55,[np.float64(0.2)],[np.float64(0.3416666666666667)],[1],[0],[0],[1.0916440999717452],[None],55,0,55,0,58.07889619999332,,10,58.05734830000438,58.07889619999332,58.07889619999332,0.04155329999048263,59.14914080000017,[np.float64(0.2)],[np.float64(0.3416666666666667)],[1],[0],[0],[1.0916440999717452],[None],P3,001,2025-09-30_15h40.16.647,VisualSearch,,2025.1.1,59.767468696889104,2025-09-30 15h40.20.850824 +0530,
