shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,rectstim.started,circstim.started,key_resp.started,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart
circle,left,88,0,22,q,0.3984826,None,,,,,22,0,88,2,74.8045851,,,,,,,,,74.7883994,74.8045851,75.004586,74.9880248,74.9880248,74.9880248,,,75.3885398,,,,q,1,1,left,left,,,,,,,,q,0.3984826,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,89,1,22,q,0.6472989,None,,,,,22,1,89,1,75.4047529,,,,,,,,,75.3891799,75.4047529,75.6046154,75.5881513,75.5881513,75.5881513,76.088012,76.088012,76.2385106,,,,p,0,1,right,right,,,,,,,,q,0.6472989,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,90,2,22,q,0.4908703,None,,,,,22,2,90,0,76.2548998,,,,,,,,,76.2389095,76.2548998,76.454753,76.4380067,76.4380067,76.4380067,76.9378477,76.9378477,76.9384121,,,,p,0,0,left,right,,,,,,,,q,0.4908703,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,91,3,22,p,0.4270404,None,,,,,22,3,91,3,76.9546116,,,,,,,,,76.9389039,76.9546116,77.1546407,77.1379954,77.1379954,77.1379954,,,77.5719181,,,,q,0,0,right,left,,,,,,,,p,0.4270404,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,92,0,23,q,0.4477306,None,,,,,23,0,92,1,77.58802,,,,,,,,,77.5724195,77.58802,77.7880014,77.7712731,77.7712731,77.7712731,,,78.221485,,,,p,0,1,right,right,,,,,,,,q,0.4477306,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,93,1,23,p,0.4583081,None,,,,,23,1,93,3,78.2380532,,,,,,,,,78.2217955,78.2380532,78.4379436,78.4213797,78.4213797,78.4213797,,,78.8882865,,,,q,0,0,right,left,,,,,,,,p,0.4583081,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,94,2,23,p,0.4186927,None,,,,,23,2,94,2,78.9047166,,,,,,,,,78.8885812,78.9047166,79.1046039,79.0881434,79.0881434,79.0881434,,,79.5215041,,,,q,0,1,left,left,,,,,,,,p,0.4186927,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,95,3,23,q,0.4219721,None,,,,,23,3,95,0,79.53782,,,,,,,,,79.5220071,79.53782,79.7380571,79.7213046,79.7213046,79.7213046,,,80.1549898,,,,p,0,0,left,right,,,,,,,,q,0.4219721,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,right,96,0,24,q,0.454824,None,,,,,24,0,96,1,80.1711153,,,,,,,,,80.1553037,80.1711153,80.3713343,80.3544373,80.3544373,80.3544373,,,80.8216701,,,,p,0,1,right,right,,,,,,,,q,0.454824,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,left,97,1,24,p,0.4537655,None,,,,,24,1,97,2,80.8380262,,,,,,,,,80.8220334,80.8380262,81.0379134,81.0213285,81.0213285,81.0213285,,,81.4883723,,,,q,0,1,left,left,,,,,,,,p,0.4537655,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
square,left,98,2,24,q,0.4763865,None,,,,,24,2,98,0,81.5045913,,,,,,,,,81.4886711,81.5045913,81.7045905,81.6877984,81.6877984,81.6877984,82.1879115,82.1879115,82.171852,,,,p,0,0,left,right,,,,,,,,q,0.4763865,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
circle,right,99,3,24,p,0.4813887,None,,,,,24,3,99,3,82.1879115,,,,,,,,,82.1725293,82.1879115,82.3879905,82.3710461,82.3710461,82.3710461,82.8711594,82.8711594,82.8553336,,,,q,0,0,right,left,,,,,,,,p,0.4813887,None,,,,P003,1,21,man,2025-11-20_10h20.29.465,SimonTask,,2025.1.1,60.01219447,p,q,2025-11-20 10h20.37.418496 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8555062,82.8711594,82.8711594,,,,,,,,,,,,
