shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,rectstim.started,circstim.started,key_resp.started,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart,
,,,,,,,,,,,,,,,,,,0.0017510000034235418,0.005070900020655245,0.005070900020655245,0.29288740002084523,space,0.275367499969434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,0,0,0,p,0.785698699997738,None,0,0,0,3,,,,,0.3012583000236191,,,,,,,,,0.29845190001651645,0.3012583000236191,0.5012268000282347,0.5012268000282347,0.5012268000282347,0.5012268000282347,1.0015287999995053,1.0015287999995053,1.3018979000044055,p,0.785698699997738,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,1,1,0,p,0.3398494000430219,None,0,1,1,1,,,,,1.3180150000262074,,,,,,,,,1.3025905000395142,1.3180150000262074,1.5182514000334777,1.50157110003056,1.50157110003056,1.50157110003056,,,1.8518691000062972,p,0.3398494000430219,None,p,1,1,right,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,2,2,0,q,0.2996216000174172,None,0,2,2,0,,,,,1.8681700000306591,,,,,,,,,1.8522387000266463,1.8681700000306591,2.06803140003467,2.051485700008925,2.051485700008925,2.051485700008925,,,2.3515367000363767,q,0.2996216000174172,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,3,3,0,p,0.4886961999582127,None,0,3,3,2,,,,,2.3681989000178874,,,,,,,,,2.3518181000254117,2.3681989000178874,2.5679980000131764,2.5514395000063814,2.5514395000063814,2.5514395000063814,3.051395100017544,3.051395100017544,3.0518843000172637,p,0.4886961999582127,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,4,0,1,q,0.4134282000013627,None,1,0,4,1,,,,,3.0681101999944076,,,,,,,,,3.0524202000233345,3.0681101999944076,3.268120600027032,3.251522100006696,3.251522100006696,3.251522100006696,,,3.6686181999975815,q,0.4134282000013627,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,5,1,1,p,0.5015898999990895,None,1,1,5,2,,,,,3.684633800003212,,,,,,,,,3.6693461000104435,3.684633800003212,3.8847100000130013,3.867985500022769,3.867985500022769,3.867985500022769,4.367845900007524,4.367845900007524,4.3851691000163555,p,0.5015898999990895,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,6,2,1,q,0.37544510001316667,None,1,2,6,0,,,,,4.401471599994693,,,,,,,,,4.386032100010198,4.401471599994693,4.6014831000356935,4.5846566000254825,4.5846566000254825,4.5846566000254825,,,4.96825680002803,q,0.37544510001316667,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,7,3,1,p,0.4039049999555573,None,1,3,7,3,,,,,4.984651600010693,,,,,,,,,4.968595999991521,4.984651600010693,5.184598300023936,5.167999400000554,5.167999400000554,5.167999400000554,,,5.585192500031553,p,0.4039049999555573,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,8,0,2,q,0.3836812999797985,None,2,0,8,0,,,,,5.601408499991521,,,,,,,,,5.585801800014451,5.601408499991521,5.801433400018141,5.784590900002513,5.784590900002513,5.784590900002513,,,6.184925100009423,q,0.3836812999797985,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
