shape,side,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,rectstim.started,circstim.started,key_resp.started,rectstim.stopped,circstim.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,corrKey,correct,congruent,stim_side,resp_side,Final_Instructions.started,text_2.started,key_resp_5.started,Final_Instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,experiment.key_resp.keys,experiment.key_resp.rt,experiment.key_resp.duration,Thank_You.started,ThankYou.started,key_resp_3.started,Thank_You.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,age,gender,date,expName,expVersion,psychopyVersion,frameRate,key_for_square,key_for_circle,expStart,
circle,left,9,1,2,q,0.38081800000509247,None,2,1,9,2,,,,,6.201329400006216,,,,,,,,,6.1854364000028,6.201329400006216,6.401359000010416,6.384710900019854,6.384710900019854,6.384710900019854,,,6.768021000025328,q,0.38081800000509247,None,q,1,1,left,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,10,2,2,q,0.589299299987033,None,2,2,10,3,,,,,6.7844137999927625,,,,,,,,,6.768401200009976,6.7844137999927625,6.984503100044094,6.967870799999218,6.967870799999218,6.967870799999218,7.467971700010821,7.467971700010821,7.568433300009929,q,0.589299299987033,None,q,1,0,right,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,11,3,2,q,0.6806202000007033,None,2,3,11,1,,,,,7.584516000002623,,,,,,,,,7.568998600007035,7.584516000002623,7.784536699997261,7.768040800001472,7.768040800001472,7.768040800001472,8.267827600007877,8.267827600007877,8.451808499987237,q,0.6806202000007033,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,12,0,3,p,0.4029276000219397,None,3,0,12,3,,,,,8.467727900017053,,,,,,,,,8.452560400008224,8.467727900017053,8.667805400036741,8.651095300039742,8.651095300039742,8.651095300039742,,,9.068045800027903,p,0.4029276000219397,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,13,1,3,q,0.4872321999864653,None,3,1,13,1,,,,,9.08450240001548,,,,,,,,,9.068562000000384,9.08450240001548,9.284472400031518,9.267767600016668,9.267767600016668,9.267767600016668,9.76786770002218,9.76786770002218,9.768341100018006,q,0.4872321999864653,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,14,2,3,p,0.41518439998617396,None,3,2,14,2,,,,,9.784443100041244,,,,,,,,,9.768982800014783,9.784443100041244,9.984448200033512,9.96796690003248,9.96796690003248,9.96796690003248,,,10.384828600042965,p,0.41518439998617396,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,15,3,3,q,0.41465739998966455,None,3,3,15,0,,,,,10.401109500031453,,,,,,,,,10.385388199996669,10.401109500031453,10.601262999989558,10.5845840999973,10.5845840999973,10.5845840999973,,,11.001819500001147,q,0.41465739998966455,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,16,0,4,p,0.4558850000030361,None,4,0,16,3,,,,,11.017740999988746,,,,,,,,,11.002189700026065,11.017740999988746,11.217769100039732,11.20114930003183,11.20114930003183,11.20114930003183,,,11.668185900023673,p,0.4558850000030361,None,q,0,0,right,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,17,1,4,q,0.4361042999662459,None,4,1,17,1,,,,,11.684615700040013,,,,,,,,,11.668638400034979,11.684615700040013,11.884431100043003,11.86784100002842,11.86784100002842,11.86784100002842,,,12.318260200030636,q,0.4361042999662459,None,p,0,1,right,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,18,2,4,q,0.35369930003071204,None,4,2,18,0,,,,,12.334488600026816,,,,,,,,,12.318660899996758,12.334488600026816,12.534406599996146,12.517653700022493,12.517653700022493,12.517653700022493,,,12.885060200002044,q,0.35369930003071204,None,p,0,0,left,right,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,19,3,4,p,0.4056448000483215,None,4,3,19,2,,,,,12.901059299998451,,,,,,,,,12.885794200003147,12.901059299998451,13.101086000038777,13.084415999997873,13.084415999997873,13.084415999997873,,,13.501660000008997,p,0.4056448000483215,None,q,0,1,left,left,,,,,,,,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.501818899996579,13.51771290000761,13.51771290000761,14.351333200000226,space,0.8315501000033692,None,,,,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,0,0,0,q,0.43283089995384216,None,,,,,0,0,0,1,14.367517600010615,,,,,,,,,14.354985300044063,14.367517600010615,14.567558700044174,14.551018900005147,14.551018900005147,14.551018900005147,,,14.984902199998032,,,,p,0,1,right,right,,,,,,,,q,0.43283089995384216,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,1,1,0,q,0.45106120000127703,None,,,,,0,1,1,0,15.000924499996472,,,,,,,,,14.985655000025872,15.000924499996472,15.201161200006027,15.184371899988037,15.184371899988037,15.184371899988037,,,15.65152290003607,,,,p,0,0,left,right,,,,,,,,q,0.45106120000127703,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,2,2,0,p,0.3718804999953136,None,,,,,0,2,2,3,15.66772620001575,,,,,,,,,15.651834800024517,15.66772620001575,15.867583599989302,15.850792500015814,15.850792500015814,15.850792500015814,,,16.2343318000203,,,,q,0,0,right,left,,,,,,,,p,0.3718804999953136,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,3,3,0,p,0.4143863000208512,None,,,,,0,3,3,2,16.250708500039764,,,,,,,,,16.234880000003614,16.250708500039764,16.45077280001715,16.433897100039758,16.433897100039758,16.433897100039758,,,16.851143900013994,,,,q,0,1,left,left,,,,,,,,p,0.4143863000208512,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,4,0,1,p,0.34307490003993735,None,,,,,1,0,4,2,16.867404000018723,,,,,,,,,16.851772600028198,16.867404000018723,17.067377600003965,17.050747100031003,17.050747100031003,17.050747100031003,,,17.401212900003884,,,,q,0,1,left,left,,,,,,,,p,0.34307490003993735,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,5,1,1,q,0.5162290000007488,None,,,,,1,1,5,1,17.41739780001808,,,,,,,,,17.401800299994648,17.41739780001808,17.61738970002625,17.60070440004347,17.60070440004347,17.60070440004347,18.100695300032385,18.100695300032385,18.11776049999753,,,,p,0,1,right,right,,,,,,,,q,0.5162290000007488,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,6,2,1,p,0.4249933999963105,None,,,,,1,2,6,0,18.133891200006474,,,,,,,,,18.118429100024514,18.133891200006474,18.333939900039695,18.317334200022742,18.317334200022742,18.317334200022742,,,18.751113400037866,,,,p,1,0,left,right,,,,,,,,p,0.4249933999963105,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,7,3,1,p,0.4699881999986246,None,,,,,1,3,7,3,18.767358100041747,,,,,,,,,18.751744300010614,18.767358100041747,18.96738310001092,18.950688900018577,18.950688900018577,18.950688900018577,19.450769199989736,19.450769199989736,19.434906200040132,,,,q,0,0,right,left,,,,,,,,p,0.4699881999986246,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,8,0,2,q,0.3180026999907568,None,,,,,2,0,8,2,19.450769199989736,,,,,,,,,19.43522149999626,19.450769199989736,19.651078600028995,19.63430450001033,19.63430450001033,19.63430450001033,,,19.968036400037818,,,,q,1,1,left,left,,,,,,,,q,0.3180026999907568,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,9,1,2,q,0.580347899987828,None,,,,,2,1,9,1,19.984147100010887,,,,,,,,,19.968997000018135,19.984147100010887,20.18431550002424,20.16752820002148,20.16752820002148,20.16752820002148,20.667478699993808,20.667478699993808,20.751502400031313,,,,p,0,1,right,right,,,,,,,,q,0.580347899987828,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,10,2,2,q,0.411683099984657,None,,,,,2,2,10,0,20.76766900002258,,,,,,,,,20.752272900019307,20.76766900002258,20.96765539998887,20.951014199992642,20.951014199992642,20.951014199992642,,,21.367893500020728,,,,p,0,0,left,right,,,,,,,,q,0.411683099984657,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,11,3,2,p,0.4112039999454282,None,,,,,2,3,11,3,21.3843024999951,,,,,,,,,21.368320200010203,21.3843024999951,21.58420440001646,21.567839300027117,21.567839300027117,21.567839300027117,,,21.98451899999054,,,,q,0,0,right,left,,,,,,,,p,0.4112039999454282,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,12,0,3,p,0.43811799999093637,None,,,,,3,0,12,2,22.000659700017422,,,,,,,,,21.984897900023498,22.000659700017422,22.20099670003401,22.184364499989897,22.184364499989897,22.184364499989897,,,22.634678000002168,,,,q,0,1,left,left,,,,,,,,p,0.43811799999093637,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,13,1,3,p,0.4968764000223018,None,,,,,3,1,13,3,22.651002900034655,,,,,,,,,22.635327199997846,22.651002900034655,22.850719600042794,22.834204500017222,22.834204500017222,22.834204500017222,23.334128400019836,23.334128400019836,23.334766899992246,,,,q,0,0,right,left,,,,,,,,p,0.4968764000223018,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,14,2,3,q,0.4348920999909751,None,,,,,3,2,14,1,23.350870500027668,,,,,,,,,23.335496700019576,23.350870500027668,23.550717500038445,23.534066800028086,23.534066800028086,23.534066800028086,,,23.984568000014406,,,,p,0,1,right,right,,,,,,,,q,0.4348920999909751,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,15,3,3,q,0.34624849999090657,None,,,,,3,3,15,0,24.000939699995797,,,,,,,,,23.985168499988504,24.000939699995797,24.200754899997264,24.18421949999174,24.18421949999174,24.18421949999174,,,24.534290600044187,,,,p,0,0,left,right,,,,,,,,q,0.34624849999090657,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,16,0,4,p,0.5198880999814719,None,,,,,4,0,16,2,24.550983800028916,,,,,,,,,24.53461650002282,24.550983800028916,24.750923799991142,24.734170600015204,24.734170600015204,24.734170600015204,25.234131400007755,25.234131400007755,25.26786160003394,,,,q,0,1,left,left,,,,,,,,p,0.5198880999814719,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,17,1,4,p,0.4332177999895066,None,,,,,4,1,17,3,25.284146299993154,,,,,,,,,25.268534900038503,25.284146299993154,25.48409330000868,25.467595699999947,25.467595699999947,25.467595699999947,,,25.901519600010943,,,,q,0,0,right,left,,,,,,,,p,0.4332177999895066,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,18,2,4,q,0.4840254999580793,None,,,,,4,2,18,1,25.91754699999001,,,,,,,,,25.9019593000412,25.91754699999001,26.117283200030215,26.101108100032434,26.101108100032434,26.101108100032434,26.600775500002783,26.600775500002783,26.601377699989825,,,,p,0,1,right,right,,,,,,,,q,0.4840254999580793,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,19,3,4,q,0.41209599998546764,None,,,,,4,3,19,0,26.617559400037862,,,,,,,,,26.60218220000388,26.617559400037862,26.81740570004331,26.800688799994532,26.800688799994532,26.800688799994532,,,27.217646400036756,,,,p,0,0,left,right,,,,,,,,q,0.41209599998546764,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,20,0,5,q,0.5399976000189781,None,,,,,5,0,20,1,27.23391469998751,,,,,,,,,27.21797300002072,27.23391469998751,27.433946700009983,27.41747270000633,27.41747270000633,27.41747270000633,27.917286000039894,27.917286000039894,27.967692900041584,,,,p,0,1,right,right,,,,,,,,q,0.5399976000189781,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,21,1,5,q,0.3955877000116743,None,,,,,5,1,21,0,27.98411409999244,,,,,,,,,27.968033600016497,27.98411409999244,28.18415610003285,28.167480000003707,28.167480000003707,28.167480000003707,,,28.567741300037596,,,,p,0,0,left,right,,,,,,,,q,0.3955877000116743,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,22,2,5,p,0.4306815000018105,None,,,,,5,2,22,3,28.58383880002657,,,,,,,,,28.568057399999816,28.58383880002657,28.7841211000341,28.767428699997254,28.767428699997254,28.767428699997254,,,29.20130060001975,,,,q,0,0,right,left,,,,,,,,p,0.4306815000018105,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,23,3,5,p,0.378171399992425,None,,,,,5,3,23,2,29.217392400023527,,,,,,,,,29.202000899997074,29.217392400023527,29.41715049999766,29.41715049999766,29.41715049999766,29.41715049999766,,,29.801427100028377,,,,q,0,1,left,left,,,,,,,,p,0.378171399992425,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,24,0,6,q,0.5002043999847956,None,,,,,6,0,24,1,29.817357500025537,,,,,,,,,29.80211849999614,29.817357500025537,30.01738259999547,30.01738259999547,30.01738259999547,30.01738259999547,30.517311500036158,30.517311500036158,30.534457400033716,,,,p,0,1,right,right,,,,,,,,q,0.5002043999847956,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,25,1,6,q,0.4324822999769822,None,,,,,6,1,25,3,30.550671500037424,,,,,,,,,30.53482719999738,30.550671500037424,30.750532200036105,30.733861999993678,30.733861999993678,30.733861999993678,,,31.167861499998253,,,,q,1,0,right,left,,,,,,,,q,0.4324822999769822,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,26,2,6,p,0.5032116000074893,None,,,,,6,2,26,2,31.18401259998791,,,,,,,,,31.168575900024734,31.18401259998791,31.38381000002846,31.3671192000038,31.3671192000038,31.3671192000038,31.86745260003954,31.86745260003954,31.884228400012944,,,,q,0,1,left,left,,,,,,,,p,0.5032116000074893,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,27,3,6,p,0.4643343999632634,None,,,,,6,3,27,0,31.900630399992224,,,,,,,,,31.88483220001217,31.900630399992224,32.10063609998906,32.08403410000028,32.08403410000028,32.08403410000028,,,32.550739000027534,,,,p,1,0,left,right,,,,,,,,p,0.4643343999632634,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,28,0,7,q,0.4930704000289552,None,,,,,7,0,28,0,32.5672307999921,,,,,,,,,32.55104079999728,32.5672307999921,32.76717360003386,32.75048670003889,32.75048670003889,32.75048670003889,33.25044209999032,33.25044209999032,33.25101080001332,,,,p,0,0,left,right,,,,,,,,q,0.4930704000289552,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,29,1,7,q,0.4565866999910213,None,,,,,7,1,29,3,33.2673608000041,,,,,,,,,33.251424800022505,33.2673608000041,33.467350299993996,33.4505635999958,33.4505635999958,33.4505635999958,,,33.91787800000748,,,,q,1,0,right,left,,,,,,,,q,0.4565866999910213,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,30,2,7,p,0.6244179999921471,None,,,,,7,2,30,2,33.9340103000286,,,,,,,,,33.91845140000805,33.9340103000286,34.13393529999303,34.117275100026745,34.117275100026745,34.117275100026745,34.6170465000323,34.6170465000323,34.75115570001071,,,,q,0,1,left,left,,,,,,,,p,0.6244179999921471,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,right,31,3,7,q,0.37600440002279356,None,,,,,7,3,31,1,34.76725600002101,,,,,,,,,34.75188280001748,34.76725600002101,34.96727850002935,34.95065449998947,34.95065449998947,34.95065449998947,,,35.334264100005385,,,,p,0,1,right,right,,,,,,,,q,0.37600440002279356,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
square,left,32,0,8,q,0.5027635000296868,None,,,,,8,0,32,0,35.35052650002763,,,,,,,,,35.334955400030594,35.35052650002763,35.5502193000284,35.53347200003918,35.53347200003918,35.53347200003918,36.03335560002597,36.03335560002597,36.05050430004485,,,,p,0,0,left,right,,,,,,,,q,0.5027635000296868,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,right,33,1,8,p,0.39726639998843893,None,,,,,8,1,33,3,36.066909899993334,,,,,,,,,36.05105350003578,36.066909899993334,36.26684200001182,36.25017290003598,36.25017290003598,36.25017290003598,,,36.65070769999875,,,,q,0,0,right,left,,,,,,,,p,0.39726639998843893,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
circle,left,34,2,8,p,0.5789160000276752,None,,,,,8,2,34,2,36.6668525999994,,,,,,,,,36.6512377000181,36.6668525999994,36.866863500035834,36.85019950004062,36.85019950004062,36.85019950004062,37.35016030003317,37.35016030003317,37.43374260002747,,,,q,0,1,left,left,,,,,,,,p,0.5789160000276752,None,,,,,,,,P002,001,21,man,2025-11-20_10h04.51.425,SimonTask,,2025.1.1,60.00556852423264,p,q,2025-11-20 10h05.02.089879 +0530,
