Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine1.started,StudyText.started,Studyslider.started,Routine1.stopped,trials.Studyslider.response,trials.Studyslider.rt,Routine2.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Routine2.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,0,0,0,1.2851851851851852,0.7326754999812692,,,,,,,,,,,,0,0,0,13,,,,,0.0313782999292016,,0.019381399964913726,0.0313782999292016,0.0313782999292016,0.7690600999630988,1.2851851851851852,0.7326754999812692,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
Poster,1,1,0,1.2851851851851852,0.16254269995260984,,,,,,,,,,,,0,1,1,14,,,,,0.7844495000317693,,0.7747360999928787,0.7844495000317693,0.7844495000317693,0.9521981999278069,1.2851851851851852,0.16254269995260984,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
T-shirt,2,2,0,1.2851851851851852,0.17980990000069141,,,,,,,,,,,,0,2,2,7,,,,,0.9678902999730781,,0.9569005999946967,0.9678902999730781,0.9678902999730781,1.152490200009197,1.2851851851851852,0.17980990000069141,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
Police,3,3,0,1.6592592592592592,0.3141823000041768,,,,,,,,,,,,0,3,3,12,,,,,1.168236400000751,,1.1557251999620348,1.168236400000751,1.168236400000751,1.4853229000000283,1.6592592592592592,0.3141823000041768,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
mouse,4,4,0,1.162962962962963,0.34948530001565814,,,,,,,,,,,,0,4,4,8,,,,,1.5013881999766454,,1.4875331999501213,1.5013881999766454,1.5013881999766454,1.8519652999239042,1.162962962962963,0.34948530001565814,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
Cruise,5,5,0,1.7740740740740741,0.39963790006004274,,,,,,,,,,,,0,5,5,11,,,,,1.8679527000058442,,1.8536364999599755,1.8679527000058442,1.8679527000058442,2.2690551999257877,1.7740740740740741,0.39963790006004274,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
Laptop,6,6,0,1.2666666666666666,0.36170649994164705,,,,,,,,,,,,0,6,6,5,,,,,2.284480100031942,,2.2756901999237016,2.284480100031942,2.284480100031942,2.6525314999744296,1.2666666666666666,0.36170649994164705,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
Chart,7,7,0,1.0,0.46300490002613515,,,,,,,,,,,,0,7,7,6,,,,,2.668051499989815,,2.657432399922982,2.668051499989815,2.668051499989815,3.1357401999412104,1.0,0.46300490002613515,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
book,8,8,0,1.6407407407407408,0.37140780000481755,,,,,,,,,,,,0,8,8,0,,,,,3.1854390000225976,,3.1812679999275133,3.1854390000225976,3.1854390000225976,3.5687628999585286,1.6407407407407408,0.37140780000481755,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
phone,9,9,0,1.374074074074074,0.3462887000059709,,,,,,,,,,,,0,9,9,2,,,,,3.5850315999705344,,3.5733719000127167,3.5850315999705344,3.5850315999705344,3.9353546999627724,1.374074074074074,0.3462887000059709,,,,,,,,,,,,,,,P002,001,21,2025-10-14_17h17.57.770,WordPriming_Experiment,,2025.1.1,60.025450803250514,2025-10-14 17h18.07.861473 +0530,
