Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine1.started,StudyText.started,Studyslider.started,Routine1.stopped,trials.Studyslider.response,trials.Studyslider.rt,Routine2.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Routine2.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1.2592592592592593,1.92358239996247,,,,,,,,,,,,0,0,0,9,,,,,0.016879099886864424,,0.010650699958205223,0.016879099886864424,0.016879099886864424,1.9496671999804676,1.2592592592592593,1.92358239996247,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
phone,1,1,0,1.2592592592592593,0.28086060006171465,,,,,,,,,,,,0,1,1,2,,,,,1.9665908999741077,,1.9539432999445125,1.9665908999741077,1.9665908999741077,2.2502245999639854,1.2592592592592593,0.28086060006171465,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Poster,2,2,0,1.2592592592592593,0.3008535000262782,,,,,,,,,,,,0,2,2,14,,,,,2.266212899936363,,2.2527727999258786,2.266212899936363,2.266212899936363,2.5674020999576896,1.2592592592592593,0.3008535000262782,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
book,3,3,0,1.2592592592592593,0.3473369999555871,,,,,,,,,,,,0,3,3,0,,,,,2.582723699975759,,2.5699765000026673,2.582723699975759,2.582723699975759,2.9334228999214247,1.2592592592592593,0.3473369999555871,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Laptop,4,4,0,1.2592592592592593,0.26386720000300556,,,,,,,,,,,,0,4,4,5,,,,,2.9492134999018162,,2.9378587999381125,2.9492134999018162,2.9492134999018162,3.2162927999161184,1.2592592592592593,0.26386720000300556,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Cruise,5,5,0,1.2592592592592593,0.33320900006219745,,,,,,,,,,,,0,5,5,11,,,,,3.232462399988435,,3.217952399980277,3.232462399988435,3.232462399988435,3.5666131998877972,1.2592592592592593,0.33320900006219745,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
T-shirt,6,6,0,1.4592592592592593,0.4479490000521764,,,,,,,,,,,,0,6,6,7,,,,,3.582497900002636,,3.571255899965763,3.582497900002636,3.582497900002636,4.034677299903706,1.4592592592592593,0.4479490000521764,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
marble,7,7,0,1.4592592592592593,0.21410629991441965,,,,,,,,,,,,0,7,7,3,,,,,4.0498489999445155,,4.037217799923383,4.0498489999445155,4.0498489999445155,4.2666344998870045,1.4592592592592593,0.21410629991441965,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Chart,8,8,0,1.4592592592592593,0.14899619994685054,,,,,,,,,,,,0,8,8,6,,,,,4.283164399908856,,4.269423599936999,4.283164399908856,4.283164399908856,4.432931499904953,1.4592592592592593,0.14899619994685054,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Keys,9,9,0,1,0.4995824999641627,,,,,,,,,,,,0,9,9,13,,,,,4.448926399927586,,4.4356777999782935,4.448926399927586,4.448926399927586,4.949497399968095,1,0.4995824999641627,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
