Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine1.started,StudyText.started,Studyslider.started,Routine1.stopped,trials.Studyslider.response,trials.Studyslider.rt,Routine2.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Routine2.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,10,10,0,1,0.1997440999839455,,,,,,,,,,,,0,10,10,1,,,,,4.965602299897,,4.951425099978223,4.965602299897,4.965602299897,5.1677738999715075,1,0.1997440999839455,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Police,11,11,0,1.1962962962962962,0.31467170000541955,,,,,,,,,,,,0,11,11,12,,,,,5.183294599992223,,5.169385099899955,5.183294599992223,5.183294599992223,5.500032399897464,1.1962962962962962,0.31467170000541955,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
board,12,12,0,1.2925925925925925,0.4310132999671623,,,,,,,,,,,,0,12,12,4,,,,,5.51597289997153,,5.503701999899931,5.51597289997153,5.51597289997153,5.949568499927409,1.2925925925925925,0.4310132999671623,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
Case,13,13,0,1,0.3834103998960927,,,,,,,,,,,,0,13,13,10,,,,,5.965824299957603,,5.95131949998904,5.965824299957603,5.965824299957603,6.349954099976458,1,0.3834103998960927,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
mouse,14,14,0,1.1851851851851851,0.379799299989827,,,,,,,,,,,,0,14,14,8,,,,,6.366317799896933,,6.354297099984251,6.366317799896933,6.366317799896933,6.7497557998867705,1.1851851851851851,0.379799299989827,,,,,,,,,,,,,,,P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,0,0,0,,,K_y_,Keys,old,KEYS,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.7947236999170855],['submit_text'],,,,,0,0,0,8,6.766159199993126,,,,,,,,6.756815399974585,6.766159199993126,6.766159199993126,6.766159199993126,0.007082699914462864,9.55184929992538,KEYS,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.7947236999170855],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,1,1,0,,,_ha_t,Chart,old,CHART,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.176965399994515],['submit_text'],,,,,0,1,1,1,9.56585819995962,,,,,,,,9.555587599985301,9.56585819995962,9.56585819995962,9.56585819995962,0.0035695999395102262,11.732780599966645,CHART,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.176965399994515],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,2,2,0,,,_oo_,Book,old,book,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.514611400081776],['submit_text'],,,,,0,2,2,13,11.748927899985574,,,,,,,,11.734560799901374,11.748927899985574,11.748927899985574,11.748927899985574,0.001718799932859838,15.249327400000766,book,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.514611400081776],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,3,3,0,,,P_li_e,Police,old,police,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.8656034999294207],['submit_text'],,,,,0,3,3,7,15.26587899995502,,,,,,,,15.251347599900328,15.26587899995502,15.26587899995502,15.26587899995502,0.0019432000117376447,17.117155199986883,police,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.8656034999294207],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,4,4,0,,,T_hi_t,Tshirt,old,tshirt,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.029064600006677],['submit_text'],,,,,0,4,4,2,17.132209399947897,,,,,,,,17.121176599990577,17.132209399947897,17.132209399947897,17.132209399947897,0.003893899964168668,19.15056199999526,tshirt,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.029064600006677],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,5,5,0,,,bo_t_e,Bottle,new,bottle,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.211491600028239],['submit_text'],,,,,0,5,5,18,19.16553869994823,,,,,,,,19.15521519992035,19.16553869994823,19.16553869994823,19.16553869994823,0.004470500047318637,21.36704349995125,bottle,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.211491600028239],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,6,6,0,,,P_str_,Pastry,old,poster,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.6135603999719024],['submit_text'],,,,,0,6,6,4,21.381867899908684,,,,,,,,21.370413099997677,21.381867899908684,21.381867899908684,21.381867899908684,0.003232100047171116,23.9842965999851,poster,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.6135603999719024],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,7,7,0,,,P_st_r,Poster,old,poster,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.343557500047609],['submit_text'],,,,,0,7,7,9,23.99868239997886,,,,,,,,23.989974499912933,23.99868239997886,23.99868239997886,23.99868239997886,0.0055071000242605805,27.334046199917793,poster,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.343557500047609],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,8,8,0,,,_o_rd,Board,old,board,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.02731869998388],['submit_text'],,,,,0,8,8,10,27.348619399941526,,,,,,,,27.339198499917984,27.348619399941526,27.348619399941526,27.348619399941526,0.0049464000621810555,30.366871399921365,board,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.02731869998388],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,9,9,0,,,c_m_ra,Camera,new,camera,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.0115271999966353],['submit_text'],,,,,0,9,9,19,30.381814899970777,,,,,,,,30.370389999938197,30.381814899970777,30.381814899970777,30.381814899970777,0.0033828000305220485,32.382145799929276,camera,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.0115271999966353],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,10,10,0,,,t_a_l_,Table,new,table,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.81462369998917],['submit_text'],,,,,0,10,10,15,32.3987088999711,,,,,,,,32.38404079992324,32.3987088999711,32.3987088999711,32.3987088999711,0.0018135999562218785,36.19885879999492,table,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.81462369998917],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,11,11,0,,,v_s_,Vase,new,vise,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.0152284000068903],['submit_text'],,,,,0,11,11,17,36.214888599934056,,,,,,,,36.20163499994669,36.214888599934056,36.214888599934056,36.214888599934056,0.002700400073081255,38.21707969997078,vise,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.0152284000068903],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,12,12,0,,,_a_bl_,Marble,old,marble,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.147165200090967],['submit_text'],,,,,0,12,12,11,38.2315571999643,,,,,,,,38.21979649993591,38.2315571999643,38.2315571999643,38.2315571999643,0.002639999962411821,41.367448999895714,marble,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.147165200090967],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,13,13,0,,,_ou_e,Mouse,old,mouse,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.1276879999786615],['submit_text'],,,,,0,13,13,3,41.38149069994688,,,,,,,,41.37226509989705,41.38149069994688,41.38149069994688,41.38149069994688,0.004665699903853238,43.50036639999598,mouse,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.1276879999786615],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,14,14,0,,,l_pt_p,Laptop,old,laptop,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.4267492999788374],['submit_text'],,,,,0,14,14,0,43.51489979994949,,,,,,,,43.505628599901684,43.51489979994949,43.51489979994949,43.51489979994949,0.005057799979113042,45.93279849993996,laptop,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.4267492999788374],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,15,15,0,,,_ru_s_,Cruise,old,cruise,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.8805978000164032],['submit_text'],,,,,0,15,15,6,45.94841859990265,,,,,,,,45.93573959998321,45.94841859990265,45.94841859990265,45.94841859990265,0.0028152000159025192,47.81676570000127,cruise,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.8805978000164032],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,16,16,0,,,c_s_,Case,old,case,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.9118016000138596],['submit_text'],,,,,0,16,16,5,47.83137869997881,,,,,,,,47.81982619990595,47.83137869997881,47.83137869997881,47.83137869997881,0.0029281999450176954,49.73191659990698,case,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[1.9118016000138596],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,17,17,0,,,p_nc_l,Pencil,new,pencil,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.731140299933031],['submit_text'],,,,,0,17,17,16,49.747937399894,,,,,,,,49.73406739998609,49.747937399894,49.747937399894,49.747937399894,0.0020807000109925866,52.46552369999699,pencil,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.731140299933031],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,18,18,0,,,c_s_io_,Cushion,old,casino,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.7166189999552444],['submit_text'],,,,,0,18,18,14,52.481211299891584,,,,,,,,52.46739369991701,52.481211299891584,52.481211299891584,52.481211299891584,0.001795999938622117,55.184474299894646,casino,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[2.7166189999552444],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
,19,19,0,,,_ho_e,Phone,old,house,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[5.976972199976444],['submit_text'],,,,,0,19,19,12,55.198033199994825,,,,,,,,55.189129999955185,55.198033199994825,55.198033199994825,55.198033199994825,0.004483399912714958,61.16662959998939,house,[np.float64(-0.028703703703703703)],[np.float64(-0.29074074074074074)],[1],[0],[0],[5.976972199976444],['submit_text'],P003,001,,2025-10-14_17h19.19.292,WordPriming_Experiment,,2025.1.1,59.994840432372676,2025-10-14 17h19.25.244812 +0530,
