Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine1.started,StudyText.started,Studyslider.started,Routine1.stopped,trials.Studyslider.response,trials.Studyslider.rt,Routine2.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Routine2.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
T-shirt,0,0,0,1.511111111111111,1.2357822000049055,,,,,,,,,,,,0,0,0,7,,,,,0.0168237000470981,,0.010249500046484172,0.0168237000470981,0.0168237000470981,1.262281100032851,1.511111111111111,1.2357822000049055,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
phone,1,1,0,1.2481481481481482,0.4145320999668911,,,,,,,,,,,,0,1,1,2,,,,,1.2782168999547139,,1.2668891999637708,1.2782168999547139,1.2782168999547139,1.696029799990356,1.2481481481481482,0.4145320999668911,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Police,2,2,0,1.7555555555555555,0.4305291000055149,,,,,,,,,,,,0,2,2,12,,,,,1.7114431000081822,,1.698800600017421,1.7114431000081822,1.7114431000081822,2.1469565000152215,1.7555555555555555,0.4305291000055149,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
marble,3,3,0,1.3333333333333333,0.3429405000060797,,,,,,,,,,,,0,3,3,3,,,,,2.1629831000464037,,2.1554110000142828,2.1629831000464037,2.1629831000464037,2.512713999953121,1.3333333333333333,0.3429405000060797,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
board,4,4,0,1.7555555555555555,0.39574949990492314,,,,,,,,,,,,0,4,4,4,,,,,2.528033599955961,,2.5179364000214264,2.528033599955961,2.528033599955961,2.929109300021082,1.7555555555555555,0.39574949990492314,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Laptop,5,5,0,1.2814814814814814,0.34470549994148314,,,,,,,,,,,,0,5,5,5,,,,,2.9448072999948636,,2.933370399987325,2.9448072999948636,2.9448072999948636,3.2831099999602884,1.2814814814814814,0.34470549994148314,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Case,6,6,0,1.0222222222222221,0.595016699982807,,,,,,,,,,,,0,6,6,10,,,,,3.295336000039242,,3.2847264000447467,3.295336000039242,3.295336000039242,3.89519960002508,1.0222222222222221,0.595016699982807,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Chart,7,7,0,1.3592592592592592,0.4156549000181258,,,,,,,,,,,,0,7,7,6,,,,,3.911564099951647,,3.8972126999869943,3.911564099951647,3.911564099951647,4.329720500041731,1.3592592592592592,0.4156549000181258,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Keys,8,8,0,1.3777777777777778,0.4301001999992877,,,,,,,,,,,,0,8,8,13,,,,,4.344785699970089,,4.333318499964662,4.344785699970089,4.344785699970089,4.778936399961822,1.3777777777777778,0.4301001999992877,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
mouse,9,9,0,1.537037037037037,0.46569790004286915,,,,,,,,,,,,0,9,9,8,,,,,4.795638900017366,,4.781313800020143,4.795638900017366,4.795638900017366,5.262437699944712,1.537037037037037,0.46569790004286915,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Poster,10,10,0,1.0740740740740742,0.3491713999537751,,,,,,,,,,,,0,10,10,14,,,,,5.27804909995757,,5.2649046999868006,5.27804909995757,5.27804909995757,5.629298600018956,1.0740740740740742,0.3491713999537751,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Pastry,11,11,0,1.451851851851852,0.4144470999017358,,,,,,,,,,,,0,11,11,9,,,,,5.644818400032818,,5.632902699988335,5.644818400032818,5.644818400032818,6.062032800051384,1.451851851851852,0.4144470999017358,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
Cruise,12,12,0,1.1851851851851851,0.41694000002462417,,,,,,,,,,,,0,12,12,11,,,,,6.078014499973506,,6.064121800009161,6.078014499973506,6.078014499973506,6.49594050005544,1.1851851851851851,0.41694000002462417,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
cushion,13,13,0,1.5703703703703704,0.38232510001398623,,,,,,,,,,,,0,13,13,1,,,,,6.511486000032164,,6.497615200001746,6.511486000032164,6.511486000032164,6.896186699974351,1.5703703703703704,0.38232510001398623,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
book,14,14,0,1.0222222222222221,0.36359960003755987,,,,,,,,,,,,0,14,14,0,,,,,6.911327600013465,,6.8992193000158295,6.911327600013465,6.911327600013465,7.27931939996779,1.0222222222222221,0.36359960003755987,,,,,,,,,,,,,,,P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,0,0,0,,,c_s_io_,Cushion,old,CUSHION,"[np.float64(-0.34444444444444444), np.float64(-0.28703703703703703), np.float64(-0.07962962962962963), np.float64(-0.08148148148148149)]","[np.float64(-0.27685185185185185), np.float64(-0.23055555555555557), np.float64(-0.3333333333333333), np.float64(-0.30092592592592593)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.30993129999842495, 3.624832300003618, 4.49109710007906, 5.174048200016841]","[None, None, None, 'submit_text']",,,,,0,0,0,14,7.298659999971278,,,,,,,,7.288544900016859,7.298659999971278,7.298659999971278,7.298659999971278,0.009212500066496432,12.462851000018418,CUSHION,"[np.float64(-0.34444444444444444), np.float64(-0.28703703703703703), np.float64(-0.07962962962962963), np.float64(-0.08148148148148149)]","[np.float64(-0.27685185185185185), np.float64(-0.23055555555555557), np.float64(-0.3333333333333333), np.float64(-0.30092592592592593)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.30993129999842495, 3.624832300003618, 4.49109710007906, 5.174048200016841]","[None, None, None, 'submit_text']",P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,1,1,0,,,_o_rd,Board,old,board,[np.float64(-0.08148148148148149)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.7467023000353947],['submit_text'],,,,,0,1,1,10,12.478024899959564,,,,,,,,12.465432800003327,12.478024899959564,12.478024899959564,12.478024899959564,0.002419800031930208,15.212375600007363,board,[np.float64(-0.08148148148148149)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.7467023000353947],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,2,2,0,,,P_li_e,Police,old,police,[np.float64(-0.08148148148148149)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.5315228999825194],['submit_text'],,,,,0,2,2,7,15.22770369995851,,,,,,,,15.214338900055736,15.22770369995851,15.22770369995851,15.22770369995851,0.0018437999533489347,17.746106200036593,police,[np.float64(-0.08148148148148149)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.5315228999825194],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,3,3,0,,,_oo_,Book,old,hook,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[6.212718099937774],['submit_text'],,,,,0,3,3,13,17.76100249995943,,,,,,,,17.748985899961554,17.76100249995943,17.76100249995943,17.76100249995943,0.002771599916741252,23.961950900033116,hook,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[6.212718099937774],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,4,4,0,,,_a_bl_,Marble,old,fables,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[6.779225399950519],['submit_text'],,,,,0,4,4,11,23.97774090000894,,,,,,,,23.96529299998656,23.97774090000894,23.97774090000894,23.97774090000894,0.0032248999923467636,30.74479969998356,fables,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[6.779225399950519],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,5,5,0,,,P_str_,Pastry,old,pastry,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[2.6805880999891087],['submit_text'],,,,,0,5,5,4,30.760936900041997,,,,,,,,30.748123300028965,30.760936900041997,30.760936900041997,30.760936900041997,0.003207299974747002,33.429188000038266,pastry,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[2.6805880999891087],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
,6,6,0,,,t_a_l_,Table,new,table,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[5.112433800008148],['submit_text'],,,,,0,6,6,15,33.44399049994536,,,,,,,,33.43460140004754,33.44399049994536,33.44399049994536,33.44399049994536,0.005211499985307455,38.54751199996099,table,[np.float64(-0.07407407407407407)],[np.float64(-0.3037037037037037)],[1],[0],[0],[5.112433800008148],['submit_text'],P004,001,21,2025-10-14_17h20.34.779,WordPriming_Experiment,,2025.1.1,59.94736621645226,2025-10-14 17h20.42.196646 +0530,
