15.2076 	INFO 	Loaded monitor calibration from ['2025_08_11 15:22']
15.2231 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
15.8346 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
15.8347 	INFO 	OpenGL version supported by driver is 4..
15.9510 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019A62458D00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019A62458CA0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019A62516650>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9510 	EXP 	window1: backgroundImage = ''
15.9511 	EXP 	window1: backgroundFit = 'none'
16.4374 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.4375 	EXP 	window1: recordFrameIntervals = False
16.5765 	EXP 	window1: recordFrameIntervals = True
16.7606 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
16.7607 	EXP 	window1: recordFrameIntervals = False
17.1799 	INFO 	keyboard.Keyboard is using ptb backend.
17.1804 	INFO 	keyboard.Keyboard is using ptb backend.
17.1808 	INFO 	keyboard.Keyboard is using ptb backend.
17.1809 	EXP 	MotorSequence: status = STARTED
17.1928 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([-0.2549,  0.2392,  0.2549]), fillColorSpace='rgb', fillRGB=array([-0.2549,  0.2392,  0.2549]), interpolate=True, lineColor=array([-0.2549,  0.2392,  0.2549]), lineColorSpace='rgb', lineRGB=array([-0.2549,  0.2392,  0.2549]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
