Pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine_1.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp.started,Routine_1.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Routine_2.started,Fixation2.started,line1.started,line2.started,line3.started,line4.started,Fixation2.stopped,probe2.started,key_resp_2.started,Routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5720473999390379,None,,,,,0,0,0,0,,,,,0.011763800051994622,,0.007640299969352782,0.011763800051994622,1.0118927999865264,1.0118927999865264,1.0118927999865264,1.0118927999865264,1.0118927999865264,2.011763700051233,2.011763700051233,2.602417099988088,x,1,0.5720473999390379,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,1,1,0,v,1,0.4309050999581814,None,,,,,0,1,1,1,,,,,2.6135685000335798,,2.60269640001934,2.6135685000335798,3.611770100076683,3.611770100076683,3.611770100076683,3.611770100076683,3.611770100076683,4.611859500058927,4.611859500058927,5.045960600022227,v,1,0.4309050999581814,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,2,2,0,c,1,0.31662049994338304,None,,,,,0,2,2,2,,,,,5.06348120002076,,5.046553499996662,5.06348120002076,6.061592800077051,6.046895800041966,6.046895800041966,6.046895800041966,6.046895800041966,7.061548299971037,7.061548299971037,7.379161900025792,c,1,0.31662049994338304,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,3,3,0,z,1,0.24006820004433393,None,,,,,0,3,3,3,,,,,7.396993100061081,,7.379842999973334,7.396993100061081,8.39504410000518,8.380824099993333,8.380824099993333,8.380824099993333,8.380824099993333,9.395028500002809,9.395028500002809,9.645815500058234,z,1,0.24006820004433393,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,4,0,1,x,1,0.3167744999518618,None,,,,,1,0,4,0,,,,,9.66347799997311,,9.646423500031233,9.66347799997311,10.661530600045808,10.647195799974725,10.647195799974725,10.647195799974725,10.647195799974725,11.644717200077139,11.644717200077139,11.9626363000134,x,1,0.3167744999518618,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,5,1,1,v,1,0.03849810000974685,None,,,,,1,1,5,1,,,,,11.980068700038828,,11.963212399976328,11.980068700038828,12.978314500069246,12.96339559997432,12.96339559997432,12.96339559997432,12.96339559997432,13.977954100002535,13.977954100002535,14.029716100078076,v,1,0.03849810000974685,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,6,2,1,c,1,0.11265409993939102,None,,,,,1,2,6,2,,,,,14.046666100039147,,14.030317199998535,14.046666100039147,15.044930599979125,15.030344799975865,15.030344799975865,15.030344799975865,15.030344799975865,16.044548799982294,16.044548799982294,16.161745900055394,c,1,0.11265409993939102,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,7,3,1,z,1,0.1906462999759242,None,,,,,1,3,7,3,,,,,16.18007830006536,,16.16217550006695,16.18007830006536,17.177862200071104,17.163616799982265,17.163616799982265,17.163616799982265,17.163616799982265,18.161157099995762,18.161157099995762,18.36184350005351,z,1,0.1906462999759242,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,8,0,2,x,1,0.27225590008310974,None,,,,,2,0,8,0,,,,,18.380617800052278,,18.362259400077164,18.380617800052278,19.37784480000846,19.363494400051422,19.363494400051422,19.363494400051422,19.363494400051422,20.361272700014524,20.361272700014524,20.645330199971795,x,1,0.27225590008310974,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,9,1,2,v,1,0.25081019999925047,None,,,,,2,1,9,1,,,,,20.66314040008001,,20.64592919999268,20.66314040008001,21.661770700011402,21.64655349997338,21.64655349997338,21.64655349997338,21.64655349997338,22.64445959997829,22.64445959997829,22.912158800056204,v,1,0.25081019999925047,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,10,2,2,c,1,0.29057660000398755,None,,,,,2,2,10,2,,,,,22.930012400029227,,22.9129434999777,22.930012400029227,23.927871100022458,23.913000000058673,23.913000000058673,23.913000000058673,23.913000000058673,24.927877100068145,24.927877100068145,25.22866620006971,c,1,0.29057660000398755,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,11,3,2,z,1,0.0642433000029996,None,,,,,2,3,11,3,,,,,25.246227300027385,,25.229303000029176,25.246227300027385,26.24448910006322,26.230342700029723,26.230342700029723,26.230342700029723,26.230342700029723,27.22792690002825,27.22792690002825,27.29463100002613,z,1,0.0642433000029996,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,12,0,3,x,1,0.33607640000991523,None,,,,,3,0,12,0,,,,,27.31299260002561,,27.29503899998963,27.31299260002561,28.31107170006726,28.297370700049214,28.297370700049214,28.297370700049214,28.297370700049214,29.294317699968815,29.294317699968815,29.645250500063412,x,1,0.33607640000991523,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,13,1,3,v,1,0.08866619993932545,None,,,,,3,1,13,1,,,,,29.663032800075598,,29.64585570001509,29.663032800075598,30.66141980001703,30.646507899975404,30.646507899975404,30.646507899975404,30.646507899975404,31.660809500026517,31.660809500026517,31.761712300009094,v,1,0.08866619993932545,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,14,2,3,c,1,0.2799656999995932,None,,,,,3,2,14,2,,,,,31.77940690005198,,31.76245490007568,31.77940690005198,32.777656999998726,32.76296480000019,32.76296480000019,32.76296480000019,32.76296480000019,33.77744940004777,33.77744940004777,34.061205700039864,c,1,0.2799656999995932,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,15,3,3,z,1,0.1924262000247836,None,,,,,3,3,15,3,,,,,34.07940869999584,,34.06160400004592,34.07940869999584,35.077593700028956,35.06287730007898,35.06287730007898,35.06287730007898,35.06287730007898,36.060665900004096,36.060665900004096,36.26126599998679,z,1,0.1924262000247836,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,16,0,4,x,1,0.2988645000150427,None,,,,,4,0,16,0,,,,,36.28002499998547,,36.26165950007271,36.28002499998547,37.27731919998769,37.262698300066404,37.262698300066404,37.262698300066404,37.262698300066404,38.26078070001677,38.26078070001677,38.56159350008238,x,1,0.2988645000150427,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,17,1,4,v,1,0.18398390000220388,None,,,,,4,1,17,1,,,,,38.57949090003967,,38.56201890006196,38.57949090003967,39.57740170008037,39.562745800009,39.562745800009,39.562745800009,39.562745800009,40.56060940003954,40.56060940003954,40.761882600025274,v,1,0.18398390000220388,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,18,2,4,c,1,0.24113460001535714,None,,,,,4,2,18,2,,,,,40.779359800042585,,40.76248090004083,40.779359800042585,41.77732640004251,41.76278440002352,41.76278440002352,41.76278440002352,41.76278440002352,42.77747019997332,42.77747019997332,43.02872170007322,c,1,0.24113460001535714,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,19,3,4,z,1,0.2056931999977678,None,,,,,4,3,19,3,,,,,43.046006400021724,,43.02927020005882,43.046006400021724,44.043993000057526,44.02952840004582,44.02952840004582,44.02952840004582,44.02952840004582,45.0439628000604,45.0439628000604,45.26143640000373,z,1,0.2056931999977678,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,20,0,5,x,1,0.45936650002840906,None,,,,,5,0,20,0,,,,,45.27950210007839,,45.2620299999835,45.27950210007839,46.27710730000399,46.26257450005505,46.26257450005505,46.26257450005505,46.26257450005505,47.27705340005923,47.27705340005923,47.74449569999706,x,1,0.45936650002840906,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,21,1,5,v,1,0.12400650000199676,None,,,,,5,1,21,1,,,,,47.76266150001902,,47.74497280002106,47.76266150001902,48.76044460001867,48.74597599997651,48.74597599997651,48.74597599997651,48.74597599997651,49.74378780007828,49.74378780007828,49.877931100083515,v,1,0.12400650000199676,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,22,2,5,c,1,0.1884194000158459,None,,,,,5,2,22,2,,,,,49.89593550004065,,49.87836800003424,49.89593550004065,50.89400159998331,50.879427000065334,50.879427000065334,50.879427000065334,50.879427000065334,51.877039100043476,51.877039100043476,52.0779307000339,c,1,0.1884194000158459,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,23,3,5,z,1,0.2888673000270501,None,,,,,5,3,23,3,,,,,52.095418000011705,,52.07843320001848,52.095418000011705,53.093965200008824,53.07911370007787,53.07911370007787,53.07911370007787,53.07911370007787,54.077084099990316,54.077084099990316,54.377801800030284,z,1,0.2888673000270501,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,24,0,6,x,1,0.11621070001274347,None,,,,,6,0,24,0,,,,,54.395487700006925,,54.37837629998103,54.395487700006925,55.39367969997693,55.379315500031225,55.379315500031225,55.379315500031225,55.379315500031225,56.39355829998385,56.39355829998385,56.5113237000769,x,1,0.11621070001274347,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,25,1,6,v,1,0.23368720000144094,None,,,,,6,1,25,1,,,,,56.52881689998321,,56.511881300015375,56.52881689998321,57.52731849998236,57.512304199975915,57.512304199975915,57.512304199975915,57.512304199975915,58.52696130005643,58.52696130005643,58.777429200010374,v,1,0.23368720000144094,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,26,2,6,c,1,0.043762699933722615,None,,,,,6,2,26,2,,,,,58.79561690008268,,58.77771719999146,58.79561690008268,59.793289600056596,59.77879740006756,59.77879740006756,59.77879740006756,59.77879740006756,60.77684190007858,60.77684190007858,60.82754450000357,c,1,0.043762699933722615,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-150,z,27,3,6,z,1,0.24895500007551163,None,,,,,6,3,27,3,,,,,60.84518790000584,,60.827974000014365,60.84518790000584,61.84362910001073,61.828871999983676,61.828871999983676,61.828871999983676,61.828871999983676,62.82674430008046,62.82674430008046,63.07780059997458,z,1,0.24895500007551163,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
-50,x,28,0,7,x,1,0.37680049997288734,None,,,,,7,0,28,0,,,,,63.09539550007321,,63.07837020000443,63.09539550007321,64.09374769998249,64.07907630002592,64.07907630002592,64.07907630002592,64.07907630002592,65.07715450006071,65.07715450006071,65.46132630005013,x,1,0.37680049997288734,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
150,v,29,1,7,v,1,0.28302249999251217,None,,,,,7,1,29,1,,,,,65.47908000007737,,65.46191439998802,65.47908000007737,66.47719980007969,66.46225640003104,66.46225640003104,66.46225640003104,66.46225640003104,67.47698620008305,67.47698620008305,67.7609356000321,v,1,0.28302249999251217,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
50,c,30,2,7,c,1,0.2766492000082508,None,,,,,7,2,30,2,,,,,67.77885520004202,,67.76146479998715,67.77885520004202,68.77667930000462,68.76217740005814,68.76217740005814,68.76217740005814,68.76217740005814,69.75998410000466,69.75998410000466,70.04510970006231,c,1,0.2766492000082508,None,,,,,,,,,,,,,,,P002,001,21,2025-10-03_11h44.41.630,MotorSequence,,2025.1.1,60.07416757254923,2025-10-03 11h44.51.076826 +0530,
