Pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine_1.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,Routine_1.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Routine_2.started,Fixation2.started,line1.started,line2.started,line3.started,line4.started,Fixation2.stopped,probe2.started,key_resp_2.started,Routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.3068976000649855,None,,,,,0,0,0,0,,,,,0.013386300066486001,,0.008944300003349781,0.013386300066486001,1.0011567000765353,1.0011567000765353,1.0011567000765353,1.0011567000765353,1.015772300073877,1.9994467000942677,1.9994467000942677,3.325686600059271,x,1,1.3068976000649855,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,1,1,0,v,1,1.3366107000038028,None,,,,,0,1,1,1,,,,,3.3342613000422716,,3.326274299994111,3.3342613000422716,4.3326634000986814,4.3326634000986814,4.3326634000986814,4.3326634000986814,4.3326634000986814,5.332412700052373,5.332412700052373,6.683359700022265,v,1,1.3366107000038028,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,2,2,0,c,1,1.5026555999647826,None,,,,,0,2,2,2,,,,,6.70103310002014,,6.683949000085704,6.70103310002014,7.684345400077291,7.684345400077291,7.684345400077291,7.684345400077291,7.699456700007431,8.68247760005761,8.68247760005761,10.200056800036691,c,1,1.5026555999647826,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,3,3,0,z,1,0.49369939998723567,None,,,,,0,3,3,3,,,,,10.217985399998724,,10.200648900005035,10.217985399998724,11.200813900097273,11.200813900097273,11.200813900097273,11.200813900097273,11.215483500040136,12.215774100041017,12.215774100041017,12.716261600027792,z,1,0.49369939998723567,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,4,0,1,x,1,0.6310649000806734,None,,,,,1,0,4,0,,,,,12.734395800041966,,12.716856500017457,12.734395800041966,13.717153000063263,13.717153000063263,13.717153000063263,13.717153000063263,13.732378700049594,14.7158704000758,14.7158704000758,15.349870200036094,x,1,0.6310649000806734,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,5,1,1,v,1,0.8261881000362337,None,,,,,1,1,5,1,,,,,15.3675174000673,,15.350463000009768,15.3675174000673,16.350857999990694,16.350857999990694,16.350857999990694,16.350857999990694,16.365657499991357,17.34907750005368,17.34907750005368,18.183259200071916,v,1,0.8261881000362337,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,6,2,1,c,1,0.9848868000553921,None,,,,,1,2,6,2,,,,,18.200834100018255,,18.183918100083247,18.200834100018255,19.247519200085662,19.247519200085662,19.247519200085662,19.247519200085662,19.249869500054047,20.19901600002777,20.19901600002777,21.19976610003505,c,1,0.9848868000553921,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,7,3,1,z,1,0.6967689000302926,None,,,,,1,3,7,3,,,,,21.217690200079232,,21.200392000027932,21.217690200079232,22.200656600063667,22.200656600063667,22.200656600063667,22.200656600063667,22.215466000023298,23.215448200004175,23.215448200004175,23.916222500032745,z,1,0.6967689000302926,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,8,0,2,x,1,0.8739542999537662,None,,,,,2,0,8,0,,,,,23.934013499994762,,23.91679600009229,23.934013499994762,24.917294300044887,24.917294300044887,24.917294300044887,24.917294300044887,24.932239999994636,25.915457600029185,25.915457600029185,26.799494300037622,x,1,0.8739542999537662,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,9,1,2,v,1,0.7902700999984518,None,,,,,2,1,9,1,,,,,26.817182900034823,,26.800112900091335,26.817182900034823,27.800462100072764,27.800462100072764,27.800462100072764,27.800462100072764,27.815252700005658,28.814905900042504,28.814905900042504,29.615524500026368,v,1,0.7902700999984518,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,10,2,2,c,1,0.8040160000091419,None,,,,,2,2,10,2,,,,,29.633774100104347,,29.61596940003801,29.633774100104347,30.61719030002132,30.61719030002132,30.61719030002132,30.61719030002132,30.63156380003784,31.61487849999685,31.61487849999685,32.43222660000902,c,1,0.8040160000091419,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,11,3,2,z,1,0.581536200013943,None,,,,,2,3,11,3,,,,,32.450337000074796,,32.432725400081836,32.450337000074796,33.433599000098184,33.433599000098184,33.433599000098184,33.433599000098184,33.44819320004899,34.4318241000874,34.4318241000874,35.015818200074136,z,1,0.581536200013943,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,12,0,3,x,1,0.884828899987042,None,,,,,3,0,12,0,,,,,35.03373140003532,,35.016431100084446,35.03373140003532,36.01704230008181,36.01704230008181,36.01704230008181,36.01704230008181,36.03194050001912,37.014945000060834,37.014945000060834,37.91594770003576,x,1,0.884828899987042,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,13,1,3,v,1,0.8500562000554055,None,,,,,3,1,13,1,,,,,37.93331940006465,,37.91652389999945,37.93331940006465,38.91664450010285,38.91664450010285,38.91664450010285,38.91664450010285,38.931713000056334,39.93189790006727,39.93189790006727,40.79921180009842,v,1,0.8500562000554055,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,14,2,3,c,1,0.7964957000222057,None,,,,,3,2,14,2,,,,,40.81679630000144,,40.79989140003454,40.81679630000144,41.800149800023064,41.800149800023064,41.800149800023064,41.800149800023064,41.814872100017965,42.81511040008627,42.81511040008627,43.615471100085415,c,1,0.7964957000222057,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,15,3,3,z,1,0.5879714000038803,None,,,,,3,3,15,3,,,,,43.633577800006606,,43.61607059999369,43.633577800006606,44.6165605999995,44.6165605999995,44.6165605999995,44.6165605999995,44.63170990010258,45.61442960007116,45.61442960007116,46.21564920002129,z,1,0.5879714000038803,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,16,0,4,x,1,0.8475369000807405,None,,,,,4,0,16,0,,,,,46.23300960008055,,46.216214500018395,46.23300960008055,47.21666090004146,47.21666090004146,47.21666090004146,47.21666090004146,47.23155340005178,48.23166080005467,48.23166080005467,49.08216930006165,x,1,0.8475369000807405,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
