Pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine_1.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,Routine_1.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Routine_2.started,Fixation2.started,line1.started,line2.started,line3.started,line4.started,Fixation2.stopped,probe2.started,key_resp_2.started,Routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.47868599998764694,None,,,,,0,0,0,0,,,,,0.014003299991600215,,0.009983500000089407,0.014003299991600215,1.0029351999983191,1.0029351999983191,1.0029351999983191,1.0029351999983191,1.0176033000461757,2.0009132999693975,2.0009132999693975,2.593544500065036,x,1,0.47868599998764694,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
150,v,1,1,0,v,1,0.29899909999221563,None,,,,,0,1,1,1,,,,,2.5979492999613285,,2.5938134000170976,2.5979492999613285,3.6003426000243053,3.6003426000243053,3.6003426000243053,3.6003426000243053,3.6003426000243053,4.600520999985747,4.600520999985747,4.901489799958654,v,1,0.29899909999221563,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
50,c,2,2,0,c,1,0.28816650004591793,None,,,,,0,2,2,2,,,,,4.919743200065568,,4.902437699958682,4.919743200065568,5.902648700051941,5.902648700051941,5.902648700051941,5.902648700051941,5.917422199971043,6.900942199979909,6.900942199979909,7.2015248000388965,c,1,0.28816650004591793,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
-150,z,3,3,0,z,1,0.1562888000626117,None,,,,,0,3,3,3,,,,,7.219114199979231,,7.202422600006685,7.219114199979231,8.202676099957898,8.202676099957898,8.202676099957898,8.202676099957898,8.21710760006681,9.217192300013267,9.217192300013267,9.385187500040047,z,1,0.1562888000626117,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
-50,x,4,0,1,x,1,0.16696410009171814,None,,,,,1,0,4,0,,,,,9.402203600038774,,9.385784700047225,9.402203600038774,10.385529199964367,10.385529199964367,10.385529199964367,10.385529199964367,10.400240699993446,11.40043300006073,11.40043300006073,11.585067000007257,x,1,0.16696410009171814,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
150,v,5,1,1,v,1,0.034867300069890916,None,,,,,1,1,5,1,,,,,11.602636100025848,,11.585630399989896,11.602636100025848,12.585718699963763,12.585718699963763,12.585718699963763,12.585718699963763,12.600425599957816,13.600516999955289,13.600516999955289,13.651369099970907,v,1,0.034867300069890916,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
50,c,6,2,1,c,1,0.39855000004172325,None,,,,,1,2,6,2,,,,,13.669351799995638,,13.651980399969034,13.669351799995638,14.652358700055629,14.652358700055629,14.652358700055629,14.652358700055629,14.667443600017577,15.650329099968076,15.650329099968076,16.051274199970067,c,1,0.39855000004172325,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
-150,z,7,3,1,z,1,0.07346250000409782,None,,,,,1,3,7,3,,,,,16.068629599991255,,16.051842999993823,16.068629599991255,17.051625599968247,17.051625599968247,17.051625599968247,17.051625599968247,17.06706559995655,18.050212700036354,18.050212700036354,18.135105499997735,z,1,0.07346250000409782,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
-50,x,8,0,2,x,1,0.16385879996232688,None,,,,,2,0,8,0,,,,,18.152947399998084,,18.135806199978106,18.152947399998084,19.135468199965544,19.135468199965544,19.135468199965544,19.135468199965544,19.150434599956498,20.15080229996238,20.15080229996238,20.317882900009863,x,1,0.16385879996232688,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
150,v,9,1,2,v,1,0.2700141000095755,None,,,,,2,1,9,1,,,,,20.33579899999313,,20.31843750004191,20.33579899999313,21.318723800010048,21.318723800010048,21.318723800010048,21.318723800010048,21.33424560003914,22.333961399970576,22.333961399970576,22.617938600014895,v,1,0.2700141000095755,None,,,,,,,,,,,,,,,P004,001,19,2025-10-03_16h25.44.879,MotorSequence,,2025.1.1,59.99671218307543,2025-10-03 16h25.57.980716 +0530,
